"id","name","code","account_type","chart_template_id/id","tag_ids/id","reconcile"
"l10n_bg_101","Fixed capital required for registration","101","equity","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_102","Fixed capital that does not require registration","102","equity","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_103","Liquidation capital in case of insolvency and liquidation","103","equity","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_104","Capital of non-profit enterprises","104","equity","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_105","Capital premiums","105","equity","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_106","Deductions (discount) related to capital","106","equity","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_111","General reserves","111","equity","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_112","Reserves from subsequent valuation of fixed assets","112","equity","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_113","Reserves from subsequent valuation of current assets","113","equity","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_114","Reserves from subsequent valuation of financial instruments","114","equity","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_115","Reserves from share issue","115","equity","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_116","Reserve related to repurchased own shares","116","equity","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_117","Reserve according to constitutive act","117","equity","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_119","Other reserves","119","equity","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_121","Uncovered loss from previous years","121","equity","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_122","Retained earnings from previous years","122","equity","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_123","Profit and loss from the current year","123","equity_unaffected","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_124","Result in bankruptcy and liquidation","124","equity","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_125","Result of the activity of non-profit enterprises","125","equity","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_131","Life insurance reserves","131","equity","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_132","Transmission-premium reserves","132","equity","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_133","Reserves for forthcoming payments","133","equity","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_134","Reserves for reserve fund","134","equity","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_135","Reinsurance reserves","135","equity","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_136","Other reserves under insurance contracts","136","equity","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_137","Reserves of investment companies","137","equity","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_138","Reserves of pension companies","138","equity","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_141","Banknotes for circulation","141","equity","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_142","Coins in circulation","142","equity","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_151","Received short-term loans","151","liability_current","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_152","Long-term loans received","152","liability_current","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_153","Debt instruments","153","liability_current","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_159","Other loans and debts","159","liability_current","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_201","Lands (terrains)","201","asset_fixed","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_202","Land improvements","202","asset_fixed","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_203","Buildings and structures","203","asset_fixed","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_204","Computer equipment","204","asset_fixed","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_205","Facilities","205","asset_fixed","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_206","Machinery and equipment","206","asset_fixed","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_207","Vehicles","207","asset_fixed","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_208","Office furniture","208","asset_fixed","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_209","Other tangible fixed assets","209","asset_fixed","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_211","Development products","211","asset_fixed","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_212","Software products","212","asset_fixed","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_213","Intellectual property rights","213","asset_fixed","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_214","Industrial property rights","214","asset_fixed","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_219","Other intangible fixed assets","219","asset_fixed","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_221","Investments in subsidiaries","221","asset_non_current","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_222","Investments in associates","222","asset_non_current","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_223","Investments in joint ventures","223","asset_non_current","l10n_bg.l10n_bg_chart_template","","False"
"l10n_bg_224","Investment property","224","asset_non_current","l10n_bg.l10n_bg_chart_template","","False"
