"id","name","l10n_ar_vat_afip_code","country_id","sequence","l10n_ar_tribute_afip_code","name@es"
"tax_group_iva_21","VAT 21%","5","base.ar","","","IVA 21%"
"tax_group_iva_27","VAT 27%","6","base.ar","","","IVA 27%"
"tax_group_iva_105","VAT 10.5%","4","base.ar","","","IVA 10.5%"
"tax_group_iva_025","VAT 2,5%","9","base.ar","","","IVA 2,5%"
"tax_group_iva_no_corresponde","VAT Not Applicable","0","base.ar","","","IVA No Corresponde"
"tax_group_iva_no_gravado","VAT Untaxed","1","base.ar","","","IVA No Gravado"
"tax_group_iva_exento","VAT Exempt","2","base.ar","","","IVA Exento"
"tax_group_iva_0","VAT 0%","3","base.ar","","","IVA 0%"
"tax_group_iva_5","VAT 5%","8","base.ar","","","IVA 5%"
"tax_group_otros_impuestos","Otros Impuestos","","","20","99",""
"tax_impuestos_internos","Internal Taxes","","base.ar","15","04","Impuestos Internos"
"tax_group_percepcion_iva","VAT Perception","","base.ar","","06","Percepción de IVA"
"tax_group_percepcion_iibb_caba","Perc IIBB CABA","","base.ar","","07",""
"tax_group_percepcion_iibb_ba","Perc IIBB ARBA","","base.ar","","07",""
"tax_group_percepcion_iibb_ca","Perc IIBB Catamarca","","base.ar","","07",""
"tax_group_percepcion_iibb_co","Perc IIBB Córdoba","","base.ar","","07",""
"tax_group_percepcion_iibb_rr","Perc IIBB Corrientes","","base.ar","","07",""
"tax_group_percepcion_iibb_er","Perc IIBB Entre Ríos","","base.ar","","07",""
"tax_group_percepcion_iibb_ju","Perc IIBB Jujuy","","base.ar","","07",""
"tax_group_percepcion_iibb_za","Perc IIBB Mendoza","","base.ar","","07",""
"tax_group_percepcion_iibb_lr","Perc IIBB La Rioja","","base.ar","","07",""
"tax_group_percepcion_iibb_sa","Perc IIBB Salta","","base.ar","","07",""
"tax_group_percepcion_iibb_nn","Perc IIBB San Juan","","base.ar","","07",""
"tax_group_percepcion_iibb_sl","Perc IIBB San Luis","","base.ar","","07",""
"tax_group_percepcion_iibb_sf","Perc IIBB Santa Fe","","base.ar","","07",""
"tax_group_percepcion_iibb_se","Perc IIBB Santiago del Estero","","base.ar","","07",""
"tax_group_percepcion_iibb_tn","Perc IIBB Tucumán","","base.ar","","07",""
"tax_group_percepcion_iibb_ha","Perc IIBB Chaco","","base.ar","","07",""
"tax_group_percepcion_iibb_ct","Perc IIBB Chubut","","base.ar","","07",""
"tax_group_percepcion_iibb_fo","Perc IIBB Formosa","","base.ar","","07",""
"tax_group_percepcion_iibb_mi","Perc IIBB Misiones","","base.ar","","07",""
"tax_group_percepcion_iibb_ne","Perc IIBB Neuquén","","base.ar","","07",""
"tax_group_percepcion_iibb_lp","Perc IIBB La Pampa","","base.ar","","07",""
"tax_group_percepcion_iibb_rn","Perc IIBB Río Negro","","base.ar","","07",""
"tax_group_percepcion_iibb_az","Perc IIBB Santa Cruz","","base.ar","","07",""
"tax_group_percepcion_iibb_tf","Perc IIBB Tierra del Fuego","","base.ar","","07",""
"tax_group_percepcion_iibb","IIBB Perceptions","","base.ar","25","07",""
"tax_group_percepcion_municipal","Municipal Taxes Perceptions","","base.ar","","08","Percepciones por Impuestos Municipales"
"tax_group_percepcion_ganancias","Profit Perceptions","","base.ar","","09","Percepción de Ganancias"
"tax_group_otras_percepciones","Other Perceptions","","base.ar","","09","Otras Percepciones"
