"id","name","applicability","country_id/id"
"tax_tag_base_sgst","BASE SGST","taxes","base.in"
"tax_tag_base_cgst","BASE CGST","taxes","base.in"
"tax_tag_base_igst","BASE IGST","taxes","base.in"
"tax_tag_non_itc_base_sgst","NON ITC BASE SGST","taxes","base.in"
"tax_tag_non_itc_base_cgst","NON ITC BASE CGST","taxes","base.in"
"tax_tag_non_itc_base_igst","NON ITC BASE IGST","taxes","base.in"
"tax_tag_other_non_itc_base_sgst","Other NON ITC BASE SGST","taxes","base.in"
"tax_tag_other_non_itc_base_cgst","Other NON ITC BASE CGST","taxes","base.in"
"tax_tag_other_non_itc_base_igst","Other NON ITC BASE IGST","taxes","base.in"
"tax_tag_base_cess","BASE CESS","taxes","base.in"
"tax_tag_base_state_cess","BASE STATE CESS","taxes","base.in"
"tax_tag_non_itc_base_cess","NON ITC BASE CESS","taxes","base.in"
"tax_tag_other_non_itc_base_cess","Other NON ITC BASE CESS","taxes","base.in"
"tax_tag_exempt","EXEMPT","taxes","base.in"
"tax_tag_nil_rated","NIL-RATED","taxes","base.in"
"tax_tag_zero_rated","ZERO-RATED","taxes","base.in"
"tax_tag_non_gst_supplies","NON GST SUPPLIES","taxes","base.in"
"tax_tag_base_sgst_rc","BASE SGST (RC)","taxes","base.in"
"tax_tag_base_cgst_rc","BASE CGST (RC)","taxes","base.in"
"tax_tag_base_igst_rc","BASE IGST (RC)","taxes","base.in"
"tax_tag_base_cess_rc","BASE CESS (RC)","taxes","base.in"
"tax_tag_sgst","SGST","taxes","base.in"
"tax_tag_cgst","CGST","taxes","base.in"
"tax_tag_igst","IGST","taxes","base.in"
"tax_tag_non_itc_sgst","NON ITC SGST","taxes","base.in"
"tax_tag_non_itc_cgst","NON ITC CGST","taxes","base.in"
"tax_tag_non_itc_igst","NON ITC IGST","taxes","base.in"
"tax_tag_other_non_itc_sgst","Other NON ITC SGST","taxes","base.in"
"tax_tag_other_non_itc_cgst","Other NON ITC CGST","taxes","base.in"
"tax_tag_other_non_itc_igst","Other NON ITC IGST","taxes","base.in"
"tax_tag_cess","CESS","taxes","base.in"
"tax_tag_state_cess","STATE CESS","taxes","base.in"
"tax_tag_non_itc_cess","NON ITC CESS","taxes","base.in"
"tax_tag_other_non_itc_cess","Other NON ITC CESS","taxes","base.in"
"tax_tag_sgst_rc","SGST (RC)","taxes","base.in"
"tax_tag_cgst_rc","CGST (RC)","taxes","base.in"
"tax_tag_igst_rc","IGST (RC)","taxes","base.in"
"tax_tag_non_itc_sgst_rc","NON ITC SGST (RC)","taxes","base.in"
"tax_tag_non_itc_cgst_rc","NON ITC CGST (RC)","taxes","base.in"
"tax_tag_non_itc_igst_rc","NON ITC IGST (RC)","taxes","base.in"
"tax_tag_other_non_itc_sgst_rc","Other NON ITC SGST (RC)","taxes","base.in"
"tax_tag_other_non_itc_cgst_rc","Other NON ITC CGST (RC)","taxes","base.in"
"tax_tag_other_non_itc_igst_rc","Other NON ITC IGST (RC)","taxes","base.in"
"tax_tag_cess_rc","CESS (RC)","taxes","base.in"
"tax_tag_non_itc_cess_rc","NON ITC CESS (RC)","taxes","base.in"
"tax_tag_other_non_itc_cess_rc","Other NON ITC CESS (RC)","taxes","base.in"
"account_tag_share_capital","Share capital","accounts","base.in"
"account_tag_reserves_and_surplus","Reserves and surplus","accounts","base.in"
"account_tag_money_received_against_share_warrants","Money received against share warrants","accounts","base.in"
"account_tag_share_application_money_pending_allotment","Share Application Money Pending Allotment","accounts","base.in"
"account_tag_long_term_borrowings","Long-term borrowings","accounts","base.in"
"account_tag_deferred_tax_liabilities","Deferred tax liabilities","accounts","base.in"
"account_tag_other_long_term_liabilities","Other Long term liabilities","accounts","base.in"
"account_tag_long_term_provisions","Long-term provisions","accounts","base.in"
"account_tag_short_term_borrowings","Short-term borrowings","accounts","base.in"
"account_tag_trade_payables_msme","Trade payables - MSME","accounts","base.in"
"account_tag_trade_payables_not_msme","Trade payables - not MSME","accounts","base.in"
"account_tag_other_current_liabilities","Other current liabilities","accounts","base.in"
"account_tag_short_term_provisions","Short-term provisions","accounts","base.in"
"account_tag_property_plant_and_equipment","Property, Plant and Equipment","accounts","base.in"
"account_tag_intangible_assets","Intangible assets","accounts","base.in"
"account_tag_capital_work_in_progress","Capital work-in-progress","accounts","base.in"
"account_tag_intangible_assets_under_development","Intangible assets under development","accounts","base.in"
"account_tag_non_current_investments","Non-current investments","accounts","base.in"
"account_tag_deferred_tax_assets","Deferred tax assets (net)","accounts","base.in"
"account_tag_long_term_loans_and_advances","Long-term loans and advances","accounts","base.in"
"account_tag_other_non_current_assets","Other non-current assets","accounts","base.in"
"account_tag_current_investments","Current investments","accounts","base.in"
"account_tag_inventories","Inventories","accounts","base.in"
"account_tag_trade_receivables","Trade receivables","accounts","base.in"
"account_tag_cash_and_cash_equivalents","Cash and cash equivalents","accounts","base.in"
"account_tag_short_term_loans_and_advances","Short-term loans and advances","accounts","base.in"
"account_tag_other_current_assets","Other current assets","accounts","base.in"
"account_tag_cost_of_materials_consumed","Cost of materials consumed","accounts","base.in"
"account_tag_purchases_of_stock_in-trade","Purchases of Stock-in-Trade","accounts","base.in"
"account_tag_changes_in_inventories_of_finished_goods","Changes in inventories of finished goods","accounts","base.in"
"account_tag_changes_in_inventories_of_work-in-progress","Changes in inventories of work-in-progress","accounts","base.in"
"account_tag_changes_in_inventories_of_stock-in-trade","Changes in inventories of stock-in-Trade","accounts","base.in"
"account_tag_employee_benefits_expense","Employee benefits expense","accounts","base.in"
"account_tag_finance_costs","Finance costs","accounts","base.in"
"account_tag_depreciation_and_amortization_expense","Depreciation and amortization expense","accounts","base.in"
"account_tag_other_expenses","Other expenses","accounts","base.in"
"account_tag_exceptional_items","Exceptional items","accounts","base.in"
"account_tag_extraordinary_items","Extraordinary items","accounts","base.in"
"account_tag_current_tax","Current tax","accounts","base.in"
"account_tag_deferred_tax","Deferred tax","accounts","base.in"
"account_tag_XII_profit/(loss)_from_discontinuing_operations","XII Profit/(loss) from discontinuing operations","accounts","base.in"
"account_tag_XIII_tax_expense_of_discontinuing_operations","XIII Tax expense of discontinuing operations","accounts","base.in"
