id,name,country_id/id,preceding_subtotal
tax_group_iva_2,IVA 2%,base.it,Imponibile
tax_group_iva_4,IVA 4%,base.it,Imponibile
tax_group_iva_5,IVA 5%,base.it,Imponibile
tax_group_iva_10,IVA 10%,base.it,Imponibile
tax_group_iva_12,IVA 12%,base.it,Imponibile
tax_group_iva_21,IVA 21%,base.it,Imponibile
tax_group_iva_20,IVA 20%,base.it,Imponibile
tax_group_iva_22,IVA 22%,base.it,Imponibile
tax_group_imp_esc_art_15,Imponibile Escluso Art.15,base.it,Imponibile
tax_group_fuori,Fuori Campo IVA,base.it,Imponibile
tax_group_split_payment,Scissione dei Pagamenti,base.it,Scissione dei Pagamenti Esclusa
