"id","l10n_id_ebupot_facility","l10n_id_ebupot_code","active","is_withholding_tax_on_payment","description","is_base_affected","invoice_label","type_tax_use","tax_group_id","name","amount_type","amount","fiscal_position_ids","repartition_line_ids/repartition_type","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/use_in_tax_closing","original_tax_ids"
"tax_ST4","","","","","Taxable Goods Other Than Luxury Goods","","12%","sale","l10n_id_tax_group_non_luxury_goods","12% (Non-Luxury Good)","percent","11.0","l10n_id_domestic_fiscal_position","base","","","invoice","","",""
"","","","","","","","","","","","","","","tax","","","invoice","l10n_id_21221010","",""
"","","","","","","","","","","","","","","base","","","refund","","",""
"","","","","","","","","","","","","","","tax","","","refund","l10n_id_21221010","",""
"tax_PT4","","","","","Standard Rate for Non-Luxury Goods & Services","","12%","purchase","l10n_id_tax_group_non_luxury_goods","12% (Non-Luxury Good)","percent","11.0","l10n_id_domestic_fiscal_position","base","","","invoice","","",""
"","","","","","","","","","","","","","","tax","","","invoice","l10n_id_11210030","",""
"","","","","","","","","","","","","","","base","","","refund","","",""
"","","","","","","","","","","","","","","tax","","","refund","l10n_id_11210030","",""
"tax_ST3","","","","","Taxable Luxury Goods","","12%","sale","l10n_id_tax_group_luxury_goods","12%","percent","12.0","l10n_id_domestic_fiscal_position","base","","","invoice","","",""
"","","","","","","","","","","","","","","tax","","","invoice","l10n_id_21221010","",""
"","","","","","","","","","","","","","","base","","","refund","","",""
"","","","","","","","","","","","","","","tax","","","refund","l10n_id_21221010","",""
"tax_PT3","","","","","Standard Rate for Luxury Goods & Services","","12%","purchase","l10n_id_tax_group_luxury_goods","12%","percent","12.0","l10n_id_domestic_fiscal_position","base","","","invoice","","",""
"","","","","","","","","","","","","","","tax","","","invoice","l10n_id_11210030","",""
"","","","","","","","","","","","","","","base","","","refund","","",""
"","","","","","","","","","","","","","","tax","","","refund","l10n_id_11210030","",""
"tax_luxury_sales","","","","","Sales Tax on Luxury Goods (STLG)","False","20%","sale","l10n_id_tax_group_stlg","20% (STLG)","percent","20.0","l10n_id_domestic_fiscal_position","base","","","invoice","","",""
"","","","","","","","","","","","","","","tax","","","invoice","l10n_id_21221010","",""
"","","","","","","","","","","","","","","base","","","refund","","",""
"","","","","","","","","","","","","","","tax","","","refund","l10n_id_21221010","",""
"tax_ST5","","","","","Taxable Goods Other Than Luxury Goods to Collectors","","12%","sale","l10n_id_tax_group_non_luxury_goods","12% Pemungut PPN (Non-Luxury Good)","percent","11.0","l10n_id_pemungut_ppn","base","","","invoice","","","tax_ST4"
"","","","","","","","","","","","","","","tax","","","invoice","l10n_id_21221010","",""
"","","","","","","","","","","","","","","tax","","-100","invoice","l10n_id_21221010","",""
"","","","","","","","","","","","","","","base","","","refund","","",""
"","","","","","","","","","","","","","","tax","","","refund","l10n_id_21221010","",""
"","","","","","","","","","","","","","","tax","","-100","refund","l10n_id_21221010","",""
"tax_ST6","","","","","Luxury Goods to Collectors","","12%","sale","l10n_id_tax_group_luxury_goods","12% Pemungut PPN","percent","12.0","l10n_id_pemungut_ppn","base","","","invoice","","","tax_ST3"
"","","","","","","","","","","","","","","tax","","","invoice","l10n_id_21221010","",""
"","","","","","","","","","","","","","","tax","","-100","invoice","l10n_id_21221010","",""
"","","","","","","","","","","","","","","base","","","refund","","",""
"","","","","","","","","","","","","","","tax","","","refund","l10n_id_21221010","",""
"","","","","","","","","","","","","","","tax","","-100","refund","l10n_id_21221010","",""
