"id","name","code","account_type","tag_ids","reconcile","non_trade","name@nl","name@de","description","description@nl","tax_ids"
"0010","Acquisition value Goodwill","0010","asset_fixed","l10n_nl.account_tag_immat","False","","Aanschafwaarde Goodwill","Anschaffungswert Geschäftswert","","",""
"0019","Amortisation Goodwill","0019","asset_fixed","l10n_nl.account_tag_immat","False","","Afschrijving Goodwill","Amortisation Geschäftswert","","",""
"0020","Acquisition value other intangible assets","0020","asset_fixed","l10n_nl.account_tag_immat","False","","Aanschafwaarde overige immateriele vaste activa","Anschaffungswert sonstige immaterielle Vermögenswerte","","",""
"0029","Amortisation of other intangible assets","0029","asset_fixed","l10n_nl.account_tag_immat","False","","Afschrijving overige immateriele vaste activa","Amortisation auf sonstige immaterielle Vermögenswerte","","",""
"0101","Land purchase value","0101","asset_fixed","l10n_nl.account_tag_23","False","","Aanschafwaarde Grond","Wert des Grunderwerbs","","",""
"0110","Acquisition value of buildings","0110","asset_fixed","l10n_nl.account_tag_23","False","","Aanschafwaarde Gebouwen","Anschaffungswert der Gebäude","","",""
"0119","Depreciation of buildings","0119","asset_fixed","l10n_nl.account_tag_23","False","","Afschrijving Gebouwen","Abschreibung von Gebäuden","","",""
"0120","Acquisition value of shops","0120","asset_fixed","l10n_nl.account_tag_23","False","","Aanschafwaarde Winkels","Anschaffungswert der Geschäfte","","",""
"0129","Depreciation of shops","0129","asset_fixed","l10n_nl.account_tag_23","False","","Afschrijving Winkels","Abschreibung von Geschäften","","",""
"0130","Acquisition value of renovations","0130","asset_fixed","l10n_nl.account_tag_23","False","","Aanschafwaarde Verbouwingen","Anschaffungswert der Renovierungen","","",""
"0139","Depreciation of renovations","0139","asset_fixed","l10n_nl.account_tag_23","False","","Afschrijving Verbouwingen","Abschreibung von Renovierungen","","",""
"0210","Acquisition value of machinery 1","0210","asset_fixed","l10n_nl.account_tag_23","False","","Aanschafwaarde Machines 1","Anschaffungswert der Maschinen 1","","",""
"0219","Depreciation of machinery 1","0219","asset_fixed","l10n_nl.account_tag_23","False","","Afschrijving Machines 1","Abschreibung von Maschinen 1","","",""
"0220","Acquisition value of machinery 2","0220","asset_fixed","l10n_nl.account_tag_23","False","","Aanschafwaarde Machines 2","Anschaffungswert der Maschinen 2","","",""
"0229","Depreciation of machinery 2","0229","asset_fixed","l10n_nl.account_tag_23","False","","Afschrijving Machines 2","Abschreibung von Maschinen 2","","",""
"0310","Purchase value of business equipment","0310","asset_fixed","l10n_nl.account_tag_23","False","","Aanschafwaarde Bedrijfsinventaris","Anschaffungswert der Geschäftsausstattung","","",""
"0319","Depreciation of business equipment","0319","asset_fixed","l10n_nl.account_tag_23","False","","Afschrijving Bedrijfsinventaris","Abschreibung von Geschäftsausstattung","","",""
"0320","Purchase value of warehouse inventory","0320","asset_fixed","l10n_nl.account_tag_23","False","","Aanschafwaarde Magazijninventaris","Anschaffungswert des Lagerbestands","","",""
"0329","Depreciation of warehouse inventory","0329","asset_fixed","l10n_nl.account_tag_23","False","","Afschrijving Magazijninventaris","Abschreibung von Lagerbeständen","","",""
"0330","Purchase value of factory inventory","0330","asset_fixed","l10n_nl.account_tag_23","False","","Aanschafwaarde Fabrieksinventaris","Abschreibung des Fabrikinventars","","",""
"0339","Depreciation of factory inventory","0339","asset_fixed","l10n_nl.account_tag_23","False","","Afschrijving Fabrieksinventaris","Abschreibung des Fabrikinventars","","",""
"0340","Purchase value of tools","0340","asset_fixed","l10n_nl.account_tag_23","False","","Aanschafwaarde Gereedschappen","Anschaffungswert der Werkzeuge","","",""
"0349","Depreciation of tools","0349","asset_fixed","l10n_nl.account_tag_23","False","","Afschrijving Gereedschappen","Abschreibung von Werkzeugen","","",""
"0350","Purchase value of office equipment","0350","asset_fixed","l10n_nl.account_tag_23","False","","Aanschafwaarde Kantoorinventaris","Anschaffungswert der Büroausstattung","","",""
"0359","Depreciation of office equipment","0359","asset_fixed","l10n_nl.account_tag_23","False","","Afschrijving Kantoorinventaris","Abschreibung von Büromaterial","","",""
"0360","Purchase value of office machinery","0360","asset_fixed","l10n_nl.account_tag_23","False","","Aanschafwaarde Kantoormachines","Anschaffungswert der Büromaschinen","","",""
"0369","Depreciation of office machinery","0369","asset_fixed","l10n_nl.account_tag_23","False","","Afschrijving Kantoormachines","Abschreibung von Büromaschinen","","",""
"0370","Purchase value of canteen inventory","0370","asset_fixed","l10n_nl.account_tag_23","False","","Aanschafwaarde Kantine-inventaris","Anschaffungswert des Kantineninventars","","",""
"0379","Depreciation of canteen inventory","0379","asset_fixed","l10n_nl.account_tag_23","False","","Afschrijving Kantine-inventaris","Abschreibung des Kantineninventars","","",""
"0410","Purchase value of passenger cars","0410","asset_fixed","l10n_nl.account_tag_23","False","","Aanschafwaarde Personenauto's","Anschaffungswert von Personenkraftwagen","","",""
"0419","Depreciation of passenger cars","0419","asset_fixed","l10n_nl.account_tag_23","False","","Afschrijving Personenauto's","Abschreibung von Personenkraftwagen","Various other housing costs.","Diverse overige huisvestingskosten.",""
"0420","Purchase value other transport equipment","0420","asset_fixed","l10n_nl.account_tag_23","False","","Aanschafwaarde overige vervoersmiddelen","Anschaffungswert sonstige Transportmittel","","",""
"0429","Depreciation of other transport equipment","0429","asset_fixed","l10n_nl.account_tag_23","False","","Afschrijving overige vervoersmiddelen","Abschreibung von sonstigem Transportmaterial","Miscellaneous operating expenses not specifically classified elsewhere.","Diverse bedrijfskosten niet specifiek elders ingedeeld.",""
"0430","Purchase value of trucks","0430","asset_fixed","l10n_nl.account_tag_23","False","","Aanschafwaarde Vrachtauto's","Abschreibung von Lastkraftwagen","","",""
"0439","Depreciation of trucks","0439","asset_fixed","l10n_nl.account_tag_23","False","","Afschrijving Vrachtauto's","Abschreibung von Lastkraftwagen","Miscellaneous other office expenses not specifically classified elsewhere.","Diverse andere kantoorkosten niet specifiek elders ingedeeld.",""
"0510","Participation 1","0510","asset_fixed","l10n_nl.account_tag_fin","False","","Deelneming 1","Teilnahme 1","","",""
"0520","Participation 2","0520","asset_fixed","l10n_nl.account_tag_fin","False","","Deelneming 2","Teilnahme 2","","",""
"0530","Participation 3","0530","asset_fixed","l10n_nl.account_tag_fin","False","","Deelneming 3","Teilnahme 3","","",""
"0551","Receivables from participation 1","0551","asset_fixed","l10n_nl.account_tag_fin","False","","Vorderingen op deelneming 1","Forderungen aus Beteiligungen 1","","",""
"0552","Receivables from participation 2","0552","asset_fixed","l10n_nl.account_tag_fin","False","","Vorderingen op deelneming 2","Forderungen aus Beteiligungen 2","","",""
"0553","Receivables from participation 3","0553","asset_fixed","l10n_nl.account_tag_fin","False","","Vorderingen op deelneming 3","Forderungen aus Beteiligungen 3","","",""
"0561","Mortgages receivable 1","0561","asset_fixed","l10n_nl.account_tag_fin","False","","Hypotheken u/g 1","Forderungen aus Hypotheken 1","","",""
"0562","Mortgages receivable 2","0562","asset_fixed","l10n_nl.account_tag_fin","False","","Hypotheken u/g 2","Forderungen aus Hypotheken 2","","",""
"0563","Mortgages receivable 3","0563","asset_fixed","l10n_nl.account_tag_fin","False","","Hypotheken u/g 3","Forderungen aus Hypotheken 3","","",""
"0565","Loans receivable 1","0565","asset_fixed","l10n_nl.account_tag_fin","False","","Leningen u/g 1","Forderungen aus Darlehen 1","","",""
"0566","Loans receivable 2","0566","asset_fixed","l10n_nl.account_tag_fin","False","","Leningen u/g 2","Forderungen aus Darlehen 2","","",""
"0567","Loans receivable 3","0567","asset_fixed","l10n_nl.account_tag_fin","False","","Leningen u/g 3","Forderungen aus Darlehen 3","","",""
"0570","Security deposits","0570","asset_fixed","l10n_nl.account_tag_fin","False","","Waarborgsommen","Kautionen","","",""
"0610","Share capital","0610","equity","l10n_nl.account_tag_cap","False","","Aandelenkapitaal","Grundkapital","","",""
"0620","Legal reserves","0620","equity","l10n_nl.account_tag_legal_res","False","","Wettelijke reserves","Gesetzliche Reserven","","",""
"0630","Share premium reserve","0630","equity","l10n_nl.account_tag_premium","False","","Agioreserve","Kapitalrücklage","","",""
"0640","General reserve","0640","equity","l10n_nl.account_tag_other_res","False","","Algemene reserve","Allgemeine Reserve","","",""
"0650","Other reserves","0650","equity","l10n_nl.account_tag_other_res","False","","Overige reserves","Sonstige Rücklagen","","",""
"0660","Revaluation reserve","0660","equity","l10n_nl.account_tag_revaluation_res","False","","Herwaarderingsreserve","Neubewertungsrücklage","","",""
"0710","Provision for pension liabilities","0710","liability_non_current","l10n_nl.account_tag_14","False","","Voorziening pensioenverplichtingen","Rückstellung für Pensionsverpflichtungen","","",""
"0720","Major maintenance equalisation reserve","0720","liability_non_current","l10n_nl.account_tag_14","False","","Egalisatiereserve groot onderhoud","Schwankungsreserve für größere Instandhaltungsmaßnahmen","","",""
