"id","name","code","user_type_id/id","chart_template_id/id","tag_ids/id","reconcile"
"tr790","İLK MADDE VE MALZEME GİDERLERİ","790","account.data_account_type_expenses","l10n_tr.chart_template_common",,"False"
"tr791","İŞÇİ ÜCRET VE GİDERLERİ","791","account.data_account_type_expenses","l10n_tr.chart_template_common",,"False"
"tr792","MEMUR ÜCRET VE GİDERLERİ","792","account.data_account_type_expenses","l10n_tr.chart_template_common",,"False"
"tr793","DIŞARIDAN SAĞLANAN FAYDA VE HİZMETLER","793","account.data_account_type_expenses","l10n_tr.chart_template_common",,"False"
"tr794","ÇEŞİTLİ GİDERLER","794","account.data_account_type_expenses","l10n_tr.chart_template_common",,"False"
"tr795","VERGİ RESİM VE HARÇLAR","795","account.data_account_type_expenses","l10n_tr.chart_template_common",,"False"
"tr796","AMORTİSMANLAR VE TÜKENME PAYLARI","796","account.data_account_type_expenses","l10n_tr.chart_template_common",,"False"
"tr797","FİNANSMAN GİDERLERİ","797","account.data_account_type_expenses","l10n_tr.chart_template_common",,"False"
"tr798","GİDER ÇEŞİTLERİ YANSITMA HESAPLARI","798","account.data_account_type_expenses","l10n_tr.chart_template_common",,"False"
"tr799","ÜRETİM MALİYET HESABI","799","account.data_account_type_expenses","l10n_tr.chart_template_common",,"False"
