"id","code_prefix_start","name","name@es"
"account_group_10020","10020","Cooperative social capital: collaborating partners and associates or members","Capital social cooperativo: socios colaboradores y asociados o adheridos"
"account_group_107","107","Equity fund and other subordinated funds maturing in liquidation","Fondo de participaciones y otros fondos subordinados con vencimiento en la liquidación"
"account_group_1145","1145","Reimbursement or Restatement Fund","Fondo de Reembolso o Actualización"
"account_group_148","148","Non-current Education, Training and Promotion Fund","Fondo de Educación, Formación y Promoción a largo plazo"
"account_group_1502","1502","Non-current liability-classified cooperative social capital: collaborating partners and associates or members","Capital social cooperativo a largo plazo considerado pasivo financiero: socios colaboradores y asociados o adheridos"
"account_group_1530","1530","Liability-classified uncalled capital for cooperative social capital","Desembolsos no exigidos por capital social cooperativo considerado como pasivo financiero"
"account_group_307","307","Merchandise purchased from partners","Mercaderías adquiridas a socios"
"account_group_317","317","Raw materials purchased from partners","Materias primas adquiridas a socios"
"account_group_5298","5298","Current Education, Training and Promotion Fund","Fondo de Educacion, Formacion y Promocion a corto plazo"
"account_group_605","605","Purchases made from partners","Compras efectuadas a socios"
"account_group_617","617","Variations in inventories acquired from partners","Variaciones de existencias adquiridas a socios"
"account_group_647","647","Remuneration to working partners","Retribución a los socios trabajadores"
"account_group_657","657","Endowment to the Education, Training and Promotion Fund","Dotación al Fondo de Educación, Formación y Promoción"
"account_group_737","737","Work carried out by the company for the Education, Training and Promotion Fund","Trabajos realizados para el Fondo de Educación, Formación y Promoción"
"account_group_756","756","Income from operations with partners","Ingresos por operaciones con socios"
"account_group_757","757","Income attributable to the Education, Training and Promotion Fund","Ingresos imputables al Fondo de Educación, Formación y Promoción"
