"id","sequence","active","description","invoice_label","type_tax_use","name","description@es","description@ca","amount","amount_type","tax_group_id","analytic","l10n_es_type","l10n_es_exempt_reason","l10n_es_bien_inversion","tax_scope","include_base_amount","repartition_line_ids/repartition_type","repartition_line_ids/tag_ids","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/factor_percent","invoice_label@es","children_tax_ids","price_include_override"
"account_tax_template_s_iva21b","0","True","VAT 21% (goods)","","sale","21% G","IVA 21% (Bienes)","IVA 21% (béns)","21.0","percent","tax_group_iva_21","","sujeto","","","consu","","base","+mod303[07]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[09]","invoice","account_common_477","","","",""
"","","","","","","","","","","","","","","","","","","base","-mod303[14_sale]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[15]","refund","account_common_477","","","",""
"account_tax_template_s_iva21s","","True","VAT 21% (services)","","sale","21% S","IVA 21% (Servicios)","IVA 21% (serveis)","21.0","percent","tax_group_iva_21","","sujeto","","","service","","base","+mod303[07]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[09]","invoice","account_common_477","","","",""
"","","","","","","","","","","","","","","","","","","base","-mod303[14_sale]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[15]","refund","account_common_477","","","",""
"account_tax_template_p_iva21_bc","0","True","VAT 21% (goods)","","purchase","21% G","21% IVA (bienes corrientes)","21% IVA (béns corrents)","21.0","percent","tax_group_iva_21","","sujeto","","","consu","","base","+mod303[28]||+mod390[605]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[29]||+mod390[606]","invoice","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","base","-mod303[40]||-mod390[605]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[41]||-mod390[606]","refund","account_common_472","","","",""
"account_tax_template_p_iva21_sc","","True","VAT 21% (services)","","purchase","21% S","21% IVA soportado (servicios corrientes)","21% IVA suportat (serveis corrents)","21.0","percent","tax_group_iva_21","","sujeto","","","service","","base","+mod303[28]||+mod390[605]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[29]||+mod390[606]","invoice","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","base","-mod303[40]||-mod390[605]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[41]||-mod390[606]","refund","account_common_472","","","",""
"account_tax_template_p_iva21_sp_in","","True","VAT 21% intra-community (services)","","purchase","21% EU S","IVA 21% Adquisición de servicios intracomunitarios","IVA 21% Adquisició de serveis intracomunitaris","21.0","percent","tax_group_iva_21","","sujeto","","","service","","base","+mod303[10]||+mod303[36]||+mod390[637]||+mod390[551]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[37]||+mod390[638]","invoice","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[11]||-mod390[552]","invoice","account_common_477","-100","","",""
"","","","","","","","","","","","","","","","","","","base","+mod303[14_purchase]||-mod303[40]||-mod390[637]||-mod390[551]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[41]||-mod390[638]","refund","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[15]||+mod390[552]","refund","account_common_477","-100","","",""
"account_tax_template_p_iva21_ic_bc","","True","VAT 21% intra-community (goods)","","purchase","21% EU G","IVA 21% Adquisición Intracomunitaria. Bienes corrientes","IVA 21% Adquisició intracomunitària. Béns corrents","21.0","percent","tax_group_iva_21","","sujeto","","","consu","","base","+mod303[36]||+mod303[10]||+mod390[25]||+mod390[629]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[37]||+mod390[630]","invoice","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[11]||-mod390[26]","invoice","account_common_477","-100","","",""
"","","","","","","","","","","","","","","","","","","base","-mod303[40]||+mod303[14_purchase]||-mod390[25]||-mod390[629]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[41]||-mod390[630]","refund","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[15]||+mod390[26]","refund","account_common_477","-100","","",""
"account_tax_template_p_iva21_ic_bi","","True","VAT 21% intra-community (investment goods)","","purchase","21% EU IG","IVA 21% Adquisición Intracomunitaria. Bienes de inversión","IVA 21% Adquisició intracomunitària. Béns d'inversió","21.0","percent","tax_group_iva_21","","sujeto","","True","consu","","base","+mod303[10]||+mod303[38]||+mod390[633]||+mod390[25]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[39]||+mod390[634]","invoice","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[11]||-mod390[26]","invoice","account_common_477","-100","","",""
"","","","","","","","","","","","","","","","","","","base","-mod303[40]||+mod303[14_purchase]||-mod390[633]||-mod390[25]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","-mod303[41]||-mod390[634]","refund","account_common_472","","","",""
"","","","","","","","","","","","","","","","","","","tax","+mod303[15]||+mod390[26]","refund","account_common_477","-100","","",""
"account_tax_template_p_iva21_ibc","","True","VAT 21% import (goods)","","purchase","21% EX G","IVA 21% Importaciones bienes corrientes","IVA 21% Importacions béns corrents","21.0","percent","tax_group_iva_21","","dua","","","consu","","base","+mod303[32]||+mod390[621]","invoice","","","","",""
