"id","name","description","invoice_label","amount","amount_type","type_tax_use","sequence","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/factor_percent","description@sk","fiscal_position_ids","alternative_tax_ids"
"vy_tuz_23","23%","VAT sales 23%","23%","23.0","percent","sale","0","tax_group_vat_23","base","invoice","","","DPH na výstupe 23%","l10n_sk_domestic_fiscal_position",""
"","","","","","","","","","tax","invoice","chart_sk_343220","","","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","chart_sk_343220","","","",""
"vy_tuz_19","19%","VAT sales 19%","19%","19.0","percent","sale","0","tax_group_vat_19","base","invoice","","","DPH na výstupe 19%","l10n_sk_domestic_fiscal_position",""
"","","","","","","","","","tax","invoice","chart_sk_343210","","","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","chart_sk_343210","","","",""
"vy_tuz_0","0%","VAT sales 0%","0%","0.0","percent","sale","","tax_group_vat_0","base","invoice","","","DPH na výstupe 0%","l10n_sk_domestic_fiscal_position",""
"","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","","","","",""
"vs_tuz_23","23%","VAT purchases 23%","23%","23.0","percent","purchase","0","tax_group_vat_23","base","invoice","","","DPH na vstupe 23%","l10n_sk_domestic_fiscal_position",""
"","","","","","","","","","tax","invoice","chart_sk_343120","","","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","chart_sk_343120","","","",""
"vs_tuz_19","19%","VAT purchases 19%","19%","19.0","percent","purchase","0","tax_group_vat_19","base","invoice","","","DPH na vstupe 19%","l10n_sk_domestic_fiscal_position",""
"","","","","","","","","","tax","invoice","chart_sk_343110","","","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","chart_sk_343110","","","",""
"vy_dod_eu","0% EU","EU ex","0%","0.0","percent","sale","","tax_group_vat_0","base","invoice","","","Dodanie do EU","fiscal_position_template_2","vy_tuz_23,vy_tuz_19,vy_tuz_0"
"","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","","","","",""
"vs_nad_eu","23% EU","EU import","23%","23.0","percent","purchase","","tax_group_vat_23","base","invoice","","","Nadobudnutie z EU","fiscal_position_template_2","vs_tuz_23,vs_tuz_19"
"","","","","","","","","","tax","invoice","chart_sk_343120","","","",""
"","","","","","","","","","tax","invoice","chart_sk_343220","-100","","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","chart_sk_343120","","","",""
"","","","","","","","","","tax","refund","chart_sk_343220","-100","","",""
