id,name,code,account_type,chart_template_id/id,reconcile
l10n_ph_100000,Bank Suspense Account,100000,asset_current,l10n_ph_chart_template,False
l10n_ph_110000,Accounts Receivable,110000,asset_receivable,l10n_ph_chart_template,True
l10n_ph_110003,Accounts Receivable (POS),110003,asset_receivable,l10n_ph_chart_template,True
l10n_ph_110100,Advances to Suppliers,110100,asset_prepayments,l10n_ph_chart_template,False
l10n_ph_110101,Deposits,110101,asset_prepayments,l10n_ph_chart_template,False
l10n_ph_110102,Employees Receivable-Cash Advance,110102,asset_current,l10n_ph_chart_template,False
l10n_ph_110103,Employees Receivable-Loan,110103,asset_current,l10n_ph_chart_template,False
l10n_ph_110104,ER - Others,110104,asset_current,l10n_ph_chart_template,False
l10n_ph_110105,Prepaid Insurance,110105,asset_prepayments,l10n_ph_chart_template,False
l10n_ph_110106,Prepaid Pension - contribution,110106,asset_prepayments,l10n_ph_chart_template,False
l10n_ph_110200,Prepaid Tax - Tax Credit Certificate,110200,asset_current,l10n_ph_chart_template,False
l10n_ph_110201,Input VAT 12%,110201,asset_current,l10n_ph_chart_template,False
l10n_ph_110202,Deferred Input VAT 12%,110202,asset_current,l10n_ph_chart_template,False
l10n_ph_110203,Deferred Tax Asset,110203,asset_current,l10n_ph_chart_template,False
l10n_ph_110205,Creditable Income Tax,110205,asset_current,l10n_ph_chart_template,False
l10n_ph_110206,Tax Withheld by Customer,110206,asset_current,l10n_ph_chart_template,False
l10n_ph_110207,Deferred Tax Withheld by Customer,110207,asset_current,l10n_ph_chart_template,False
l10n_ph_110300,Inventory,110300,asset_current,l10n_ph_chart_template,False
l10n_ph_110301,Purchases,110301,asset_current,l10n_ph_chart_template,False
l10n_ph_110302,Stock Interim (Received),110302,asset_current,l10n_ph_chart_template,True
l10n_ph_110303,Stock Interim (Delivered),110303,asset_current,l10n_ph_chart_template,True
l10n_ph_110304,Stock Interim (Production),110304,asset_current,l10n_ph_chart_template,True
l10n_ph_110400,Other Non-current Asset,110400,asset_non_current,l10n_ph_chart_template,False
l10n_ph_110500,Building and Leasehold Improvements,110500,asset_fixed,l10n_ph_chart_template,False
l10n_ph_110501,"Furniture, Fixtures and Equipment",110501,asset_fixed,l10n_ph_chart_template,False
l10n_ph_110502,Vehicles,110502,asset_fixed,l10n_ph_chart_template,False
l10n_ph_110503,Computers,110503,asset_fixed,l10n_ph_chart_template,False
l10n_ph_110504,Accum Depreciation-Bldg & Leasehold Imp,110504,asset_fixed,l10n_ph_chart_template,False
l10n_ph_110505,"Accum Depreciation-Furniture, Fixtures and Equipment",110505,asset_fixed,l10n_ph_chart_template,False
l10n_ph_110506,Accum Depreciation-Vehicles,110506,asset_fixed,l10n_ph_chart_template,False
l10n_ph_110507,Accum Depreciation-Computers,110507,asset_fixed,l10n_ph_chart_template,False
