"id",name,reveal_id
"crm_iap_lead_industry_30","Consumer Discretionary","30"
"crm_iap_lead_industry_33","Consumer Staples","33"
"crm_iap_lead_industry_69","Insurance","69"
"crm_iap_lead_industry_86","Media","86"
"crm_iap_lead_industry_114","Real Estate","114"
"crm_iap_lead_industry_136","Transportation","136"
"crm_iap_lead_industry_138","Utilities","138"
"crm_iap_lead_industry_146","Industrials","146"
"crm_iap_lead_industry_148","Materials","148"
"crm_iap_lead_industry_149","Telecommunication Services","149"
"crm_iap_lead_industry_150","Consumer Services","150"
"crm_iap_lead_industry_151","Diversified Consumer Services","151"
"crm_iap_lead_industry_152","Retailing","152"
"crm_iap_lead_industry_153","Food & Staples Retailing","153"
"crm_iap_lead_industry_154","Food, Beverage & Tobacco","154"
"crm_iap_lead_industry_155","Household & Personal Products","155"
"crm_iap_lead_industry_156","Energy Equipment & Services","156"
"crm_iap_lead_industry_157","Banks","157"
"crm_iap_lead_industry_158","Diversified Financial Services","158"
"crm_iap_lead_industry_159","Diversified Financials","159"
"crm_iap_lead_industry_160","Health Care Equipment & Services","160"
"crm_iap_lead_industry_161","Pharmaceuticals, Biotechnology & Life Sciences","161"
"crm_iap_lead_industry_162","Capital Goods","162"
"crm_iap_lead_industry_163","Commercial & Professional Services","163"
"crm_iap_lead_industry_164","Semiconductors & Semiconductor Equipment","164"
"crm_iap_lead_industry_165","Software & Services","165"
"crm_iap_lead_industry_166","Technology Hardware & Equipment","166"
"crm_iap_lead_industry_167","Construction Materials","167"
"crm_iap_lead_industry_168","Independent Power and Renewable Electricity Producers","168"
"crm_iap_lead_industry_238","Automobiles & Components","238"
"crm_iap_lead_industry_239","Consumer Durables & Apparel","239"
