"id","name","l10n_ec_type","sequence","country_id","name@es"
"tax_group_vat_08","VAT 8%","vat08","5","base.ec","IVA 8%"
"tax_group_vat_12","VAT 12%","vat12","10","base.ec","IVA 12%"
"tax_group_vat14","VAT 14%","vat14","20","base.ec","IVA 14%"
"tax_group_vat0","VAT 0%","zero_vat","30","base.ec","IVA 0%"
"tax_group_vat_not_charged","VAT Not Charged","not_charged_vat","40","base.ec","IVA no cobrado"
"tax_group_vat_exempt","VAT Exempt","exempt_vat","50","base.ec","Exento de IVA"
"tax_group_ice","Special Consumptions (ICE)","ice","60","base.ec","Consumos Especiales (ICE)"
"tax_group_irbpnr","Plastic Bottles (IRBPNR)","irbpnr","70","base.ec","Botellas de plástico (IRBPNR)"
"tax_group_withhold_vat_sale","VAT Withhold on Sales","withhold_vat_sale","80","base.ec","Retención IVA en Ventas"
"tax_group_withhold_vat_purchase","VAT Withhold on Purchases","withhold_vat_purchase","80","base.ec","Retención IVA en Compras"
"tax_group_withhold_income_sale","Profit Withhold on Sales","withhold_income_sale","90","base.ec","Retención Renta en Ventas"
"tax_group_withhold_income_purchase","Profit Withhold on Purchases","withhold_income_purchase","95","base.ec","Retención Renta en Compras"
"tax_group_outflows","Exchange Outflows","outflows_tax","100","base.ec","Salidas por cambio"
"tax_group_others","Others","other","110","base.ec","Otros"
