"id","name","code_prefix_start","code_prefix_end"
"group_0100_0199","Basic Tools","0100","0199"
"group_0200_0299","Depreciation of fixed assets","0200","0299"
"group_0300_0399","Financial leased fixed assets","0300","0399"
"group_0400_0499","Intangible assets","0400","0499"
"group_0500_0599","Amortization of intangible assets","0500","0599"
"group_0600_0699","Long-term investments","0600","0699"
"group_0700_0799","Installation equipment","0700","0799"
"group_0800_0899","Capital investments","0800","0899"
"group_0900_9999","Long-term receivables and deferred expenses","0900","0999"
"group_1000_1099","Materials","1000","1099"
"group_1100_1499","Livestock Animals in cultivation","1100","1499"
"group_1500_1599","Preparation and purchase of materials","1500","1599"
"group_1600_1999","Differences in the value of materials","1600","1999"
"group_2000_2099","Main production","2000","2099"
"group_2100_2299","Self-produced semi-finished products","2100","2299"
"group_2300_2499","Auxiliary production","2300","2499"
"group_2500_2599","Total production costs","2500","2599"
"group_2600_2699","Unusable products in production","2600","2699"
"group_2700_2799","Service farms","2700","2799"
"group_2800_2899","Finished products","2800","2899"
"group_2900_3099","Goods","2900","3099"
"group_3100_3199","Expenses of the future period - the current part","3100","3199"
"group_3200_3999","Deferred expenses - current part","3200","3999"
"group_4000_4099","Current fees charged","4000","4099"
"group_4100_4199","Current payments from spin-off units, subsidiaries and affiliates","4100","4199"
"group_4200_4299","Bonuses given to employees","4200","4299"
"group_4300_4399","Credits to suppliers and contractors","4300","4399"
"group_4400_4499","Budgetary payments","4400","4499"
"group_4500_4599","Payments to state trust funds and insurances","4500","4599"
"group_4600_4699","Accounts receivable for the shares of the founders in the authorized capital","4600","4699"
"group_4700_4799","Debt of employees on other operations","4700","4799"
"group_4800_4899","Other current receivables","4800","4899"
"group_4900_4999","Provision for doubtful debts","4900","4999"
"group_5000_5099","Cash on hand","5000","5099"
"group_5100_5209","Funds in the current account","5100","5209"
"group_5210_5499","Funds in foreign currency","5210","5499"
"group_5500_5599","Funds in special bank accounts","5500","5599"
"group_5600_5699","Cash equivalents","5600","5699"
"group_5700_5799","Money (transfers) on the road","5700","5799"
"group_5800_5899","Short-term investments","5800","5899"
"group_5900_5999","Impairments and impairment losses and other current assets","5900","5999"
"group_6000_6099","Current obligations for payments to suppliers and contractors","6000","6099"
"group_6100_6199","Current liabilities for payments to spin-off units, subsidiaries and affiliates","6100","6199"
"group_6200_6299","Deferred current liabilities","6200","6299"
"group_6300_6399","The current part of the received points","6300","6399"
"group_6400_6499","Arrears for payments to the budget","6400","6499"
"group_6500_6599","Current debts for payments to insurance and state trust funds","6500","6599"
"group_6600_6699","Current debts to founders","6600","6699"
"group_6700_6799","Settlements with employees regarding wages","6700","6799"
"group_6800_6899","Short-term loans and debts","6800","6899"
"group_6900_6999","Other current payables","6900","6999"
"group_7000_7099","Long-term payments to suppliers and contractors","7000","7099"
"group_7100_7199","Long-term liabilities for payments to spin-offs, subsidiaries and affiliates","7100","7199"
"group_7200_7299","Deferred long-term liabilities","7200","7299"
"group_7300_7799","Receivables from customers and suppliers — long-term portion","7300","7799"
"group_7800_7899","Long-term loans and debts","7800","7899"
"group_7900_7999","Other long-term payables","7900","7999"
"group_8300_8399","Authorized capital","8300","8399"
"group_8400_8499","Added capital","8400","8499"
"group_8500_8599","Reserve capital","8500","8599"
"group_8600_8699","Purchased private shares","8600","8699"
"group_8700_8799","Retained earnings (unreimbursed loss)","8700","8799"
"group_8800_8899","Target revenues","8800","8899"
"group_8900_8999","Reserves for future expenses and payments","8900","8999"
"group_9000_9099","Income from the main (operational) activity","9000","9099"
"group_9100_9199","Cost of sold products (goods, work, services).","9100","9199"
"group_9200_9299","Disposal of fixed assets and other assets","9200","9299"
"group_9300_9399","Other income from the main activity","9300","9399"
"group_9400_9499","Period Expenses","9400","9499"
"group_9500_9599","Income from financial activities","9500","9599"
"group_9600_9699","Expenses on financial activities","9600","9699"
"group_9700_9799","Contingency profit (loss)","9700","9799"
"group_9800_9899","Use of profits to pay tax liabilities","9800","9899"
"group_9900_9999","Final financial result","9900","9999"
"group_0001_0001","Operating leased capital equipment","0001","0001"
"group_0002_0002","Goods and material resources accepted for responsible storage","0002","0002"
"group_0003_0003","Recycled materials","0003","0003"
"group_0004_0004","Goods accepted under the mediation contract","0004","0004"
"group_0005_0005","Accepted equipment for installation","0005","0005"
"group_0006_0006","Fixed account forms","0006","0006"
"group_0007_0007","Debts of insolvent debtors written off as losses","0007","0007"
"group_0008_0008","Ensuring obligations and payments - received","0008","0008"
"group_0009_0009","Ensuring obligations and payments - given","0009","0009"
"group_0010_0010","The main means provided under the financial lease agreement","0010","0010"
"group_0011_0011","Property acquired under a loan agreement","0011","0011"
"group_0012_0012","Expenses deducted from the taxable base in future periods","0012","0012"
"group_0013_0013","Temporary tax and customs benefits (by type)","0013","0013"
"group_0014_0014","Inventory and household equipment in use","0014","0014"
"group_0015_0015","Property acquired under a joint venture agreement","0015","0015"
"group_0016_0016","Intangible assets received under the right of use","0016","0016"
