"id","name","description","invoice_label","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent","name@fr","description@fr"
"syscebnl_tva_sale_18","18%","","","18.0","percent","sale","syscebnl_tax_group_18","base","invoice","","+base_sale_18","","",""
"","","","","","","","","tax","invoice","syscebnl_443","+tax_sale_18","","",""
"","","","","","","","","base","refund","","-base_sale_18","","",""
"","","","","","","","","tax","refund","syscebnl_443","-tax_sale_18","","",""
"syscebnl_tva_purchase_18","18%","","","18.0","percent","purchase","syscebnl_tax_group_18","base","invoice","","+base_purchase","","",""
"","","","","","","","","tax","invoice","syscebnl_445","+tax_purchase","","",""
"","","","","","","","","base","refund","","-base_purchase","","",""
"","","","","","","","","tax","refund","syscebnl_445","-tax_purchase","","",""
"syscebnl_tva_sale_10","10%","","","10.0","percent","sale","syscebnl_tax_group_10","base","invoice","","+base_sale_10","","",""
"","","","","","","","","tax","invoice","syscebnl_443","+tax_sale_10","","",""
"","","","","","","","","base","refund","","-base_sale_10","","",""
"","","","","","","","","tax","refund","syscebnl_443","-tax_sale_10","","",""
"syscebnl_tva_purchase_10","10%","","","10.0","percent","purchase","syscebnl_tax_group_10","base","invoice","","+base_purchase","","",""
"","","","","","","","","tax","invoice","syscebnl_445","+tax_purchase","","",""
"","","","","","","","","base","refund","","-base_purchase","","",""
"","","","","","","","","tax","refund","syscebnl_445","-tax_purchase","","",""
"syscebnl_tva_export_0","0% EX","0% (export)","","0.0","","sale","syscebnl_tax_group_0","base","invoice","","+export","","","0% (exportation)"
"","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","base","refund","","-export","","",""
"","","","","","","","","tax","refund","","","","",""
"syscebnl_tva_import_0","0% EX","0% (import)","","0.0","","purchase","syscebnl_tax_group_0","base","invoice","","","","","0% (importation)"
"","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","base","refund","","","","",""
"","","","","","","","","tax","refund","","","","",""
"syscebnl_tva_exempt_0","0%","0% (exempt)","","0.0","","sale","syscebnl_tax_group_0","base","invoice","","+sale_exempt","","","0% (exonéré)"
"","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","base","refund","","-sale_exempt","","",""
"","","","","","","","","tax","refund","","","","",""
"syscebnl_tva_non_impos_0","0% NT","0% (non taxable)","","0.0","","sale","syscebnl_tax_group_0","base","invoice","","+non_taxed","","","0% (non taxable)"
"","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","base","refund","","-non_taxed","","",""
"","","","","","","","","tax","refund","","","","",""
"syscebnl_tva_sale_18_sd","0% SD","0% Self Delivery","","0.0","percent","sale","syscebnl_tax_group_0","base","invoice","","+sale_self","","0% Livraison à soi-meme","0 LASM"
"","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","base","refund","","-sale_self","","",""
"","","","","","","","","tax","refund","","","","",""
"syscebnl_tva_purchase_exempt_0","0%","0% (exempt)","","0.0","","purchase","syscebnl_tax_group_0","base","invoice","","","","","0% (exonéré)"
"","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","base","refund","","","","",""
"","","","","","","","","tax","refund","","","","",""
