id,chart_template_id:id,name,sequence,description,type_tax_use,amount_type,amount,price_include,account_id:id,refund_account_id:id,tag_ids:id
au_tax_sale_10,l10n_au_chart_template,Sale (10%),1,GST Sales,sale,percent,10,FALSE,au_21310,au_21310,tag_au_tax_sale_10
au_tax_sale_inc_10,l10n_au_chart_template,GST Inc Sale (10%),2,GST Inclusive Sales,sale,percent,10,TRUE,au_21310,au_21310,tag_au_tax_sale_inc_10
au_tax_sale_0,l10n_au_chart_template,Zero (Export) Sale,3,Zero Rated (Export) Sales,sale,percent,0,FALSE,au_21310,au_21310,tag_au_tax_sale_0
au_tax_sale_exempt,l10n_au_chart_template,Exempt Sale,4,Exempt Sales,sale,percent,0,FALSE,au_21310,au_21310,tag_au_tax_sale_exempt
au_tax_purchase_10,l10n_au_chart_template,Purch (10%),1,GST Purchases,purchase,percent,10,FALSE,au_21330,au_21330,tag_au_tax_purchase_10
au_tax_purchase_inc_10,l10n_au_chart_template,GST Inc Purch (10%),2,GST Inclusive Purchases,purchase,percent,10,TRUE,au_21330,au_21330,tag_au_tax_purchase_inc_10
au_tax_purchase_capital,l10n_au_chart_template,Capital (10.0%),3,Capital Purchases,purchase,percent,10,FALSE,au_21330,au_21330,tag_au_tax_purchase_capital
au_tax_purchase_0,l10n_au_chart_template,Zero Rated Purch,4,Zero Rated Purchases,purchase,percent,0,FALSE,au_21330,au_21330,tag_au_tax_purchase_0
au_tax_purchase_taxable_import,l10n_au_chart_template,Purch (Taxable Imports),5,Purchase (Taxable Imports) - Tax Paid Separately,purchase,percent,0,FALSE,au_21330,au_21330,tag_au_tax_purchase_taxable_import
au_tax_purchase_gst_only,l10n_au_chart_template,GST Only on Imports,6,GST Only on Imports,purchase,percent,100000000,TRUE,au_21330,au_21330,tag_au_tax_purchase_gst_only
