"id","sequence","name","name@gr","auto_apply","vat_required","country_id","country_group_id","tax_ids/tax_src/id","tax_ids/tax_dest_id","account_ids/account_src_id","account_ids/account_dest_id"
"fiscal_position_cy_exempt","1","Exempt taxpayer","Απαλλασσόμενος φορολογούμενος","","","","","VAT_S_IN_CY_19_G","EXEMPT_S","",""
"","","","","","","","","VAT_S_IN_CY_19_S","EXEMPT_S","",""
"","","","","","","","","VAT_S_IN_CY_9_G","EXEMPT_S","",""
"","","","","","","","","VAT_S_IN_CY_9_S","EXEMPT_S","",""
"","","","","","","","","VAT_S_IN_CY_5_G","EXEMPT_S","",""
"","","","","","","","","VAT_S_IN_CY_5_S","EXEMPT_S","",""
"","","","","","","","","VAT_S_IN_CY_3_G","EXEMPT_S","",""
"","","","","","","","","VAT_S_IN_CY_3_S","EXEMPT_S","",""
"","","","","","","","","VAT_P_IN_CY_19_G","EXEMPT_P","",""
"","","","","","","","","VAT_P_IN_CY_19_S","EXEMPT_P","",""
"","","","","","","","","VAT_P_IN_CY_9_G","EXEMPT_P","",""
"","","","","","","","","VAT_P_IN_CY_9_S","EXEMPT_P","",""
"","","","","","","","","VAT_P_IN_CY_5_G","EXEMPT_P","",""
"","","","","","","","","VAT_P_IN_CY_5_S","EXEMPT_P","",""
"","","","","","","","","VAT_P_IN_CY_3_G","EXEMPT_P","",""
"","","","","","","","","VAT_P_IN_CY_3_S","EXEMPT_P","",""
"fiscal_position_cy_national","2","Domestic","Οικιακός","1","1","base.cy","","","","",""
"fiscal_position_cy_person_private","3","Private partner","Ιδιωτικός συνεργάτης","1","","","base.europe","","","",""
"fiscal_position_cy_eu","4","EU partner","εταίρο της ΕΕ","1","1","","base.europe","VAT_S_IN_CY_19_G","VAT_S_IN_EU_19_G_ES","",""
"","","","","","","","","VAT_S_IN_CY_19_S","VAT_S_IN_EU_19_S_ESSS","",""
"","","","","","","","","VAT_S_IN_CY_9_G","VAT_S_IN_EU_0_G_EZ","",""
"","","","","","","","","VAT_S_IN_CY_9_S","VAT_S_IN_EU_19_S_ESSS","",""
"","","","","","","","","VAT_S_IN_CY_5_G","VAT_S_IN_EU_0_G_EZ","",""
"","","","","","","","","VAT_S_IN_CY_5_S","VAT_S_IN_EU_19_S_ESSS","",""
"","","","","","","","","VAT_S_IN_CY_3_G","VAT_S_IN_EU_0_G_EZ","",""
"","","","","","","","","VAT_S_IN_CY_3_S","VAT_S_IN_EU_19_S_ESSS","",""
"","","","","","","","","VAT_P_IN_CY_19_G","VAT_P_IN_EU_0_G_EZ","",""
"","","","","","","","","VAT_P_IN_CY_19_S","VAT_P_IN_EU_19_S_ESSP","",""
"","","","","","","","","VAT_P_IN_CY_9_G","VAT_P_IN_EU_0_G_EZ","",""
"","","","","","","","","VAT_P_IN_CY_9_S","VAT_P_IN_EU_19_S_ESSP","",""
"","","","","","","","","VAT_P_IN_CY_5_G","VAT_P_IN_EU_0_G_EZ","",""
"","","","","","","","","VAT_P_IN_CY_5_S","VAT_P_IN_EU_19_S_ESSP","",""
"","","","","","","","","VAT_P_IN_CY_3_G","VAT_P_IN_EU_0_G_EZ","",""
"","","","","","","","","VAT_P_IN_CY_3_S","VAT_P_IN_EU_19_S_ESSP","",""
"fiscal_position_cy_abroad","5","Partner outside of EU","Συνεργάτης εκτός ΕΕ","1","","","","VAT_S_IN_CY_19_G","VAT_S_OUT_EU","",""
"","","","","","","","","VAT_S_IN_CY_19_S","VAT_S_OUT_EU","",""
"","","","","","","","","VAT_S_IN_CY_9_G","VAT_S_OUT_EU","",""
"","","","","","","","","VAT_S_IN_CY_9_S","VAT_S_OUT_EU","",""
"","","","","","","","","VAT_S_IN_CY_5_G","VAT_S_OUT_EU","",""
"","","","","","","","","VAT_S_IN_CY_5_S","VAT_S_OUT_EU","",""
"","","","","","","","","VAT_S_IN_CY_3_G","VAT_S_OUT_EU","",""
"","","","","","","","","VAT_S_IN_CY_3_S","VAT_S_OUT_EU","",""
"","","","","","","","","VAT_P_IN_CY_19_G","VAT_P_OUT_EU_G","",""
"","","","","","","","","VAT_P_IN_CY_19_S","VAT_P_OUT_EU_S","",""
"","","","","","","","","VAT_P_IN_CY_9_G","VAT_P_OUT_EU_G","",""
"","","","","","","","","VAT_P_IN_CY_9_S","VAT_P_OUT_EU_S","",""
"","","","","","","","","VAT_P_IN_CY_5_G","VAT_P_OUT_EU_G","",""
"","","","","","","","","VAT_P_IN_CY_5_S","VAT_P_OUT_EU_S","",""
"","","","","","","","","VAT_P_IN_CY_3_G","VAT_P_OUT_EU_G","",""
"","","","","","","","","VAT_P_IN_CY_3_S","VAT_P_OUT_EU_S","",""
