"id","description","invoice_label","name","sequence","amount","amount_type","type_tax_use","price_include","tax_group_id","active","tax_scope","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","name@it"
"22v","","22%","22%","30","22.0","percent","sale","False","tax_group_iva_22","","","base","invoice","+02","","","22%"
"","","","","","","","","","","","","tax","invoice","+4v","2601","",""
"","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","","tax","refund","","2601","",""
"10v","","10%","10%","40","10.0","percent","sale","False","tax_group_iva_10","","","base","invoice","+02","","","10%"
"","","","","","","","","","","","","tax","invoice","+4v","2601","",""
"","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","","tax","refund","","2601","",""
"5v","","5%","5%","50","5.0","percent","sale","False","tax_group_iva_5","False","","base","invoice","+02","","",""
"","","","","","","","","","","","","tax","invoice","+4v","2601","",""
"","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","","tax","refund","","2601","",""
"4v","","4%","4%","60","4.0","percent","sale","False","tax_group_iva_4","False","","base","invoice","+02","","",""
"","","","","","","","","","","","","tax","invoice","+4v","2601","",""
"","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","","tax","refund","","2601","",""
"00v","","0%","0%","70","0.0","percent","sale","False","tax_group_fuori","","","base","invoice","","","",""
"","","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","","tax","refund","","","",""
"22am","","22%","22% G","80","22.0","percent","purchase","False","tax_group_iva_22","","consu","base","invoice","+03","","","22% M"
"","","","","","","","","","","","","tax","invoice","+5v","1601","",""
"","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","","tax","refund","","1601","",""
"10am","","10%","10% G","90","10.0","percent","purchase","False","tax_group_iva_10","","consu","base","invoice","+03","","","10% M"
"","","","","","","","","","","","","tax","invoice","+4v","1601","",""
"","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","","tax","refund","","1601","",""
"5am","","5%","5% G","100","5.0","percent","purchase","False","tax_group_iva_5","False","consu","base","invoice","+03","","","5% M"
"","","","","","","","","","","","","tax","invoice","+5v","1601","",""
"","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","","tax","refund","","1601","",""
"4am","","4%","4% G","110","4.0","percent","purchase","False","tax_group_iva_4","False","consu","base","invoice","+03","","","4% M"
"","","","","","","","","","","","","tax","invoice","+5v","1601","",""
"","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","","tax","refund","","1601","",""
"00am","","0%","0% G","120","0.0","percent","purchase","False","tax_group_fuori","","consu","base","invoice","+02","","","0% M"
"","","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","","tax","refund","","","",""
"22as","","22%","22% S","130","22.0","percent","purchase","False","tax_group_iva_22","","service","base","invoice","+03","","","22% S"
"","","","","","","","","","","","","tax","invoice","+5v","1601","",""
"","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","","tax","refund","","1601","",""
"10as","","10%","10% S","140","10.0","percent","purchase","False","tax_group_iva_10","","service","base","invoice","+03","","","10% S"
"","","","","","","","","","","","","tax","invoice","+5v","1601","",""
"","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","","tax","refund","","1601","",""
"5as","","5%","5% S","150","5.0","percent","purchase","False","tax_group_iva_5","False","service","base","invoice","+03","","","5% S"
"","","","","","","","","","","","","tax","invoice","+5v","1601","",""
"","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","","tax","refund","","1601","",""
"4as","","4%","4% S","160","4.0","percent","purchase","False","tax_group_iva_4","False","service","base","invoice","+03","","","4% S"
"","","","","","","","","","","","","tax","invoice","+5v","1601","",""
"","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","","tax","refund","","1601","",""
"00as","","0%","0% S","170","0.0","percent","purchase","False","tax_group_fuori","","service","base","invoice","+02","","","0% S"
"","","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","","tax","refund","","","",""
"00eu","","0%","0% EU","180","0.0","percent","sale","False","tax_group_fuori","","","base","invoice","+02","","","0% EU"
"","","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","","tax","refund","","","",""
"00art15v","","0%","0% Art.15","190","0.0","percent","sale","False","tax_group_imp_esc_art_15","","","base","invoice","+02","","","0% Art.15"
"","","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","","tax","refund","","","",""
"00art15a","","00art15a","0% Art.15","200","0.0","percent","purchase","False","tax_group_imp_esc_art_15","","","base","invoice","+03","","","0% Art.15"
"","","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","","tax","refund","","","",""
"22rcs","","22%","22% S RC","210","22.0","percent","purchase","False","tax_group_iva_22","","service","base","invoice","+03||+vj3","","","22% S IC"
"","","","","","","","","","","","","tax","invoice","+5v","1601","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100",""
"","","","","","","","","","","","","base","refund","-03||-vj3","","",""
"","","","","","","","","","","","","tax","refund","","1601","",""
"","","","","","","","","","","","","tax","refund","","2601","-100",""
"10rcs","","10%","10% S RC","220","10.0","percent","purchase","False","tax_group_iva_10","","service","base","invoice","+03||+vj3","","","10% S IC"
"","","","","","","","","","","","","tax","invoice","+5v","1601","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100",""
"","","","","","","","","","","","","base","refund","-03||-vj3","","",""
"","","","","","","","","","","","","tax","refund","","1601","",""
"","","","","","","","","","","","","tax","refund","","2601","-100",""
"5rcs","","5%","5% S RC","230","5.0","percent","purchase","False","tax_group_iva_5","False","service","base","invoice","+03||+vj3","","","5% S IC"
"","","","","","","","","","","","","tax","invoice","+5v","1601","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100",""
"","","","","","","","","","","","","base","refund","-03||-vj3","","",""
"","","","","","","","","","","","","tax","refund","","1601","",""
"","","","","","","","","","","","","tax","refund","","2601","-100",""
"4rcs","","4%","4% S RC","240","4.0","percent","purchase","False","tax_group_iva_4","False","service","base","invoice","+03||+vj3","","","4% S IC"
"","","","","","","","","","","","","tax","invoice","+5v","1601","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100",""
"","","","","","","","","","","","","base","refund","-03||-vj3","","",""
"","","","","","","","","","","","","tax","refund","","1601","",""
"","","","","","","","","","","","","tax","refund","","2601","-100",""
"00rcs","","0%","0% S RC","250","0.0","percent","purchase","False","tax_group_fuori","","service","base","invoice","+03||+vj3","","","0% S CI"
"","","","","","","","","","","","","tax","invoice","+5v","1601","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100",""
"","","","","","","","","","","","","base","refund","-03||-vj3","","",""
"","","","","","","","","","","","","tax","refund","","1601","",""
"","","","","","","","","","","","","tax","refund","","2601","-100",""
"22rcm","","22%","22% G RC","260","22.0","percent","purchase","False","tax_group_iva_22","","consu","base","invoice","+03||+vj9","","","22% M IC"
"","","","","","","","","","","","","tax","invoice","+5v","1601","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100",""
"","","","","","","","","","","","","base","refund","-03||-vj9","","",""
"","","","","","","","","","","","","tax","refund","","1601","",""
"","","","","","","","","","","","","tax","refund","","2601","-100",""
"10rcm","","10%","10% G RC","270","10.0","percent","purchase","False","tax_group_iva_10","","consu","base","invoice","+03||+vj9","","","10% M IC"
"","","","","","","","","","","","","tax","invoice","+5v","1601","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100",""
"","","","","","","","","","","","","base","refund","-03||-vj9","","",""
"","","","","","","","","","","","","tax","refund","","1601","",""
"","","","","","","","","","","","","tax","refund","","2601","-100",""
"5rcm","","5%","5% G RC","280","5.0","percent","purchase","False","tax_group_iva_5","False","consu","base","invoice","+03||+vj9","","","5% M IC"
"","","","","","","","","","","","","tax","invoice","+5v","1601","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100",""
"","","","","","","","","","","","","base","refund","-03||-vj9","","",""
"","","","","","","","","","","","","tax","refund","","1601","",""
"","","","","","","","","","","","","tax","refund","","2601","-100",""
"4rcm","","4%","4% G RC","290","4.0","percent","purchase","False","tax_group_iva_4","False","consu","base","invoice","+03||+vj9","","","4% M IC"
"","","","","","","","","","","","","tax","invoice","+5v","1601","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100",""
"","","","","","","","","","","","","base","refund","-03||-vj9","","",""
"","","","","","","","","","","","","tax","refund","","1601","",""
"","","","","","","","","","","","","tax","refund","","2601","-100",""
"00rcm","","0%","0% G RC","300","0.0","percent","purchase","False","tax_group_fuori","","consu","base","invoice","+03||+vj9","","","0% M CI"
"","","","","","","","","","","","","tax","invoice","+5v","1601","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100",""
"","","","","","","","","","","","","base","refund","-03||-vj9","","",""
"","","","","","","","","","","","","tax","refund","","1601","",""
"","","","","","","","","","","","","tax","refund","","2601","-100",""
"22rcd","","22%","22% G Deposit","310","22.0","percent","purchase","False","tax_group_iva_22","","consu","base","invoice","+03||+vj3","","","22% M Deposito"
"","","","","","","","","","","","","tax","invoice","+5v","1601","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100",""
"","","","","","","","","","","","","base","refund","-03||-vj3","","",""
"","","","","","","","","","","","","tax","refund","","1601","",""
"","","","","","","","","","","","","tax","refund","","2601","-100",""
"10rcd","","10%","10% G Deposit","320","10.0","percent","purchase","False","tax_group_iva_10","","consu","base","invoice","+03||+vj3","","","10% M Deposito"
"","","","","","","","","","","","","tax","invoice","+5v","1601","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100",""
"","","","","","","","","","","","","base","refund","-03||-vj3","","",""
"","","","","","","","","","","","","tax","refund","","1601","",""
"","","","","","","","","","","","","tax","refund","","2601","-100",""
"5rcd","","5%","5% G Deposit","330","5.0","percent","purchase","False","tax_group_iva_5","False","consu","base","invoice","+03||+vj3","","","5% M Deposito"
"","","","","","","","","","","","","tax","invoice","+5v","1601","",""
"","","","","","","","","","","","","tax","invoice","-4v","2601","-100",""
