"id","name","tax_group_id","amount","amount_type","type_tax_use","description","price_include","tax_scope","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","name@ru"
"l10n_kz_tax_vat_12_sale","12%","tax_group_vat_12","12.0","percent","sale","VAT 12%","","","base","invoice","+I. With the issuance of invoices net","",""
"","","","","","","","","","tax","invoice","+I. With the issuance of invoices tax","kz3130",""
"","","","","","","","","","base","refund","+I. With the issuance of invoices net","",""
"","","","","","","","","","tax","refund","+I. With the issuance of invoices tax","kz3130",""
"l10n_kz_tax_vat_12_purchase","12%","tax_group_vat_12","12.0","percent","purchase","VAT 12%","","","base","invoice","+On invoices net","",""
"","","","","","","","","","tax","invoice","+On invoices tax","kz1420",""
"","","","","","","","","","base","refund","+On invoices net","",""
"","","","","","","","","","tax","refund","+On invoices tax","kz1420",""
"l10n_kz_tax_vat_0_sale","0%","tax_group_vat_0","0.0","percent","sale","VAT 0%","","","base","invoice","+Sales turnover subject to zero VAT net","",""
"","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","base","refund","+Sales turnover subject to zero VAT net","",""
"","","","","","","","","","tax","refund","","",""
"l10n_kz_tax_vat_0_purchase","0%","tax_group_vat_0","0.0","percent","purchase","VAT 0%","","","base","invoice","+Purchases without VAT net","",""
"","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","base","refund","+Purchases without VAT net","",""
"","","","","","","","","","tax","refund","","",""
"l10n_kz_tax_vat_12_sale_included","12% included","tax_group_vat_12","12.0","percent","sale","VAT 12% included","True","","base","invoice","+I. With the issuance of invoices net","","12% включен в стоимость"
"","","","","","","","","","tax","invoice","+I. With the issuance of invoices tax","kz3130",""
"","","","","","","","","","base","refund","+I. With the issuance of invoices net","",""
"","","","","","","","","","tax","refund","+I. With the issuance of invoices tax","kz3130",""
"l10n_kz_tax_vat_12_purchase_included","12% included","tax_group_vat_12","12.0","percent","purchase","VAT 12% included","True","","base","invoice","+On invoices net","","12% включен в стоимость"
"","","","","","","","","","tax","invoice","+On invoices tax","kz1420",""
"","","","","","","","","","base","refund","+On invoices net","",""
"","","","","","","","","","tax","refund","+On invoices tax","kz1420",""
"l10n_kz_tax_vat_20_sale_included","20% included","tax_group_vat_20","20.0","percent","sale","VAT 20% included","True","","base","invoice","+I. With the issuance of invoices net","","20% включен в стоимость"
"","","","","","","","","","tax","invoice","+I. With the issuance of invoices tax","kz3130",""
"","","","","","","","","","base","refund","+I. With the issuance of invoices net","",""
"","","","","","","","","","tax","refund","+I. With the issuance of invoices tax","kz3130",""
"l10n_kz_tax_vat_20_sale","20%","tax_group_vat_20","20.0","percent","sale","VAT 20%","","","base","invoice","+I. With the issuance of invoices net","",""
"","","","","","","","","","tax","invoice","+I. With the issuance of invoices tax","kz3130",""
"","","","","","","","","","base","refund","+I. With the issuance of invoices net","",""
"","","","","","","","","","tax","refund","+I. With the issuance of invoices tax","kz3130",""
"l10n_kz_tax_vat_20_purchase_included","20% included","tax_group_vat_20","20.0","percent","purchase","VAT 20% included","True","","base","invoice","+On invoices net","","20% включен в стоимость"
"","","","","","","","","","tax","invoice","+On invoices tax","kz1420",""
"","","","","","","","","","base","refund","+On invoices net","",""
"","","","","","","","","","tax","refund","+On invoices tax","kz1420",""
"l10n_kz_tax_vat_20_purchase","20%","tax_group_vat_20","20.0","percent","purchase","VAT 20%","","","base","invoice","+On invoices net","",""
"","","","","","","","","","tax","invoice","+On invoices tax","kz1420",""
"","","","","","","","","","base","refund","+On invoices net","",""
"","","","","","","","","","tax","refund","+On invoices tax","kz1420",""
"l10n_kz_tax_vat_12_sale_export","12% EX","tax_group_vat_12","12.0","percent","sale","Export VAT 12%","","","base","invoice","+Turnover - not in the Republic of Kazakhstan net","","12% Экспорт/Импорт"
"","","","","","","","","","tax","invoice","+Turnover - not in the Republic of Kazakhstan net","kz3130",""
"","","","","","","","","","base","refund","+Turnover - not in the Republic of Kazakhstan net","",""
"","","","","","","","","","tax","refund","+Turnover - not in the Republic of Kazakhstan net","kz3130",""
"l10n_kz_tax_vat_12_purchase_import","12% EX","tax_group_vat_12","12.0","percent","purchase","Import VAT 12%","","","base","invoice","+Imports from non-EEU states net","","12% Экспорт/Импорт"
"","","","","","","","","","tax","invoice","+Imports from non-EEU states tax","kz1420",""
"","","","","","","","","","base","refund","+Imports from non-EEU states net","",""
"","","","","","","","","","tax","refund","+Imports from non-EEU states tax","kz1420",""
"l10n_kz_tax_vat_0_sale_export","0% EX","tax_group_vat_0","0.0","percent","sale","Export VAT 0%","","","base","invoice","+Sales turnover subject to zero VAT net","","0% Экспорт"
"","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","base","refund","+Sales turnover subject to zero VAT net","",""
"","","","","","","","","","tax","refund","","",""
"l10n_kz_tax_vat_12_sale_included_export","12% EX included","tax_group_vat_12","12.0","percent","sale","Export VAT 12% included","True","","base","invoice","+Turnover - not in the Republic of Kazakhstan net","","12% Экспорт/Импорт включен в стоимость"
"","","","","","","","","","tax","invoice","+Turnover - not in the Republic of Kazakhstan net","kz3130",""
"","","","","","","","","","base","refund","+Turnover - not in the Republic of Kazakhstan net","",""
"","","","","","","","","","tax","refund","+Turnover - not in the Republic of Kazakhstan net","kz3130",""
"l10n_kz_tax_vat_12_purchase_included_import","12% EX included","tax_group_vat_12","12.0","percent","purchase","Import VAT 12% included","True","","base","invoice","+Imports from non-EEU states net","","12% Экспорт/Импорт включен в стоимость"
"","","","","","","","","","tax","invoice","+Imports from non-EEU states tax","kz1420",""
"","","","","","","","","","base","refund","+Imports from non-EEU states net","",""
"","","","","","","","","","tax","refund","+Imports from non-EEU states tax","kz1420",""
"l10n_kz_tax_vat_20_sale_included_export","20% EX included","tax_group_vat_20","20.0","percent","sale","Export VAT 20% included","True","","base","invoice","+Turnover - not in the Republic of Kazakhstan net","","20% Экспорт/Импорт включен в стоимость"
"","","","","","","","","","tax","invoice","+Turnover - not in the Republic of Kazakhstan net","kz3130",""
"","","","","","","","","","base","refund","+Turnover - not in the Republic of Kazakhstan net","",""
"","","","","","","","","","tax","refund","+Turnover - not in the Republic of Kazakhstan net","kz3130",""
"l10n_kz_tax_vat_20_sale_export","20% EX","tax_group_vat_20","20.0","percent","sale","Export VAT 20%","","","base","invoice","+Turnover - not in the Republic of Kazakhstan net","","20% Экспорт/Импорт"
"","","","","","","","","","tax","invoice","+Turnover - not in the Republic of Kazakhstan net","kz3130",""
"","","","","","","","","","base","refund","+Turnover - not in the Republic of Kazakhstan net","",""
"","","","","","","","","","tax","refund","+Turnover - not in the Republic of Kazakhstan net","kz3130",""
"l10n_kz_tax_vat_20_purchase_included_import","20% EX included","tax_group_vat_20","20.0","percent","purchase","Import VAT 20% included","True","","base","invoice","+Imports from non-EEU states net","","20% Экспорт/Импорт включен в стоимость"
