"id","name","sequence","description","invoice_label","type_tax_use","tax_scope","amount_type","amount","tax_group_id","is_withholding_tax_on_payment","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","active","description@zh_TW","fiscal_position_ids","original_tax_ids","country_id"
"l10n_tw_tax_sale_5_tr_vat","5% TR VAT","","5% VAT - Triplicate Invoices / E-invoices","5%","sale","","percent","5","l10n_tw_tax_group_5_vat","False","","base","invoice","","T VAT 1","True","5% VAT - 三聯式發票、電子計算機發票","l10n_tw_fiscal_position_b2b_customer_triplicate","l10n_tw_tax_sale_5_dr_vat","base.tw"
"","","","","","","","","","","","100","tax","invoice","l10n_tw_account_2281","T VAT 2","","","","",""
"","","","","","","","","","","","","base","refund","","T VAT 17","","","","",""
"","","","","","","","","","","","100","tax","refund","l10n_tw_account_2281","T VAT 18","","","","",""
"l10n_tw_tax_sale_5_cr_t_vat","5% CR T VAT","","5% VAT - Triplicate Cash Register / E-invoices","5%","sale","","percent","5","l10n_tw_tax_group_5_vat","False","","base","invoice","","CR T VAT 5","True","5% VAT - 收銀機發票(三聯式)及電子發票","l10n_tw_fiscal_position_b2b_customer_cash_register","l10n_tw_tax_sale_5_dr_vat","base.tw"
"","","","","","","","","","","","100","tax","invoice","l10n_tw_account_2281","CR T VAT 6","","","","",""
"","","","","","","","","","","","","base","refund","","T VAT 17","","","","",""
"","","","","","","","","","","","100","tax","refund","l10n_tw_account_2281","T VAT 18","","","","",""
"l10n_tw_tax_sale_5_dr_vat","5% DR VAT","","5% VAT - Duplicate Invoices / Cash Register (Duplicate)","5%","sale","","percent","5","l10n_tw_tax_group_5_vat","False","","base","invoice","","D VAT 9","True","5% VAT - 二聯式發票、收銀機發票(二聯式)","l10n_tw_fiscal_position_b2c_customer_duplicate","l10n_tw_tax_sale_5_tr_vat,l10n_tw_tax_sale_5_cr_t_vat","base.tw"
"","","","","","","","","","","","100","tax","invoice","l10n_tw_account_2281","D VAT 10","","","","",""
"","","","","","","","","","","","","base","refund","","T VAT 17","","","","",""
"","","","","","","","","","","","100","tax","refund","l10n_tw_account_2281","T VAT 18","","","","",""
"l10n_tw_tax_sale_5_d_vat","5% D VAT","","5% VAT - Deemed Sales","5%","sale","","percent","5","l10n_tw_tax_group_5_vat","False","","base","invoice","","NI VAT 13","True","5% VAT - 免用發票","l10n_tw_fiscal_position_deemed_sales","l10n_tw_tax_sale_5_tr_vat,l10n_tw_tax_sale_5_cr_t_vat,l10n_tw_tax_sale_5_dr_vat,l10n_tw_tax_sale_5_vat_fa","base.tw"
"","","","","","","","","","","","100","tax","invoice","l10n_tw_account_2281","NI VAT 14","","","","",""
"","","","","","","","","","","","","base","refund","","T VAT 18","","","","",""
"","","","","","","","","","","","100","tax","refund","l10n_tw_account_2281","NI VAT 14","","","","",""
"l10n_tw_tax_sale_5_vat_fa","5% VAT FA","","5% VAT F A - Sale of Fixed Asset","5%","sale","","percent","5","l10n_tw_tax_group_5_vat","False","","base","invoice","","T VAT FA 27||T VAT 1","True","5% VAT F A - 固定資產出售","","","base.tw"
