"id","code","name","user_type_id:id","reconcile","chart_template_id:id"
"a_1_111001","1111001","Kas Kecil","account.data_account_type_liquidity",TRUE,"l10n_id_chart"
"a_1_111002","1111002","Kas Belum Disetor","account.data_account_type_liquidity",TRUE,"l10n_id_chart"
"a_1_112001","1112001","Mandiri Personal","account.data_account_type_liquidity",TRUE,"l10n_id_chart"
"a_1_112002","1112002","Mandiri Bisnis","account.data_account_type_liquidity",TRUE,"l10n_id_chart"
"a_1_112003","1112003","Muamalat","account.data_account_type_liquidity",TRUE,"l10n_id_chart"
"a_1_112004","1112004","BNI","account.data_account_type_liquidity",TRUE,"l10n_id_chart"
"a_1_112005","1112005","BCA","account.data_account_type_liquidity",TRUE,"l10n_id_chart"
"a_1_112006","1112006","BNI Giro","account.data_account_type_liquidity",TRUE,"l10n_id_chart"
"a_1_112007","1112007","Mandiri Giro","account.data_account_type_liquidity",TRUE,"l10n_id_chart"
"a_1_121001","1121001","Piutang Usaha","account.data_account_type_receivable",TRUE,"l10n_id_chart"
"a_1_1210011","11210011","Piutang Usaha (PoS)","account.data_account_type_receivable",TRUE,"l10n_id_chart"
"a_1_121002","1121002","Piutang Karyawan","account.data_account_type_current_assets",TRUE,"l10n_id_chart"
"a_1_211003","1211003","Piutang Owner","account.data_account_type_current_assets",TRUE,"l10n_id_chart"
"a_1_211004","1211004","Piutang lainnya","account.data_account_type_current_assets",TRUE,"l10n_id_chart"
"a_1_130001","1130001","Persediaan Daging","account.data_account_type_current_assets",FALSE,"l10n_id_chart"
"a_1_130002","1130002","Persediaan Ikan","account.data_account_type_current_assets",FALSE,"l10n_id_chart"
"a_1_130003","1130003","Persediaan Sayuran","account.data_account_type_current_assets",FALSE,"l10n_id_chart"
"a_1_130004","1130004","Persediaan Keringan","account.data_account_type_current_assets",FALSE,"l10n_id_chart"
"a_1_130005","1130005","Persediaan Buah","account.data_account_type_current_assets",FALSE,"l10n_id_chart"
"a_1_130006","1130006","Persediaan Fresh Drink","account.data_account_type_current_assets",FALSE,"l10n_id_chart"
"a_1_130007","1130007","Persediaan Rokok","account.data_account_type_current_assets",FALSE,"l10n_id_chart"
"a_1_130008","1130008","Persediaan Makanan","account.data_account_type_current_assets",FALSE,"l10n_id_chart"
"a_1_130009","1130009","Persediaan Minuman","account.data_account_type_current_assets",FALSE,"l10n_id_chart"
"a_1_130010","1130010","Persediaan Makanan Olahan","account.data_account_type_current_assets",FALSE,"l10n_id_chart"
"a_1_130011","1130011","Persediaan Toiletries","account.data_account_type_current_assets",FALSE,"l10n_id_chart"
"a_1_130012","1130012","Persediaan Buku, ATK, Asesoris","account.data_account_type_current_assets",FALSE,"l10n_id_chart"
"a_1_130013","1130013","Persediaan Fashion & Textil","account.data_account_type_current_assets",FALSE,"l10n_id_chart"
"a_1_130014","1130014","Persediaan Perlengkapan Kebersihan","account.data_account_type_current_assets",FALSE,"l10n_id_chart"
"a_1_130015","1130015","Persediaan Perlengkapan Rumah Tangga","account.data_account_type_current_assets",FALSE,"l10n_id_chart"
"a_1_130016","1130016","Persediaan Elektronik","account.data_account_type_current_assets",FALSE,"l10n_id_chart"
"a_1_130017","1130017","Persediaan Mainan","account.data_account_type_current_assets",FALSE,"l10n_id_chart"
"a_1_130018","1130018","Persediaan Lainnya","account.data_account_type_current_assets",FALSE,"l10n_id_chart"
"a_1_141001","1141001","Sewa Bangunan","account.data_account_type_prepayments",FALSE,"l10n_id_chart"
"a_1_141002","1141002","Asuransi Dibayar Dimuka","account.data_account_type_prepayments",FALSE,"l10n_id_chart"
"a_1_141003","1141003","Beban Iklan Dibayar Dimuka","account.data_account_type_prepayments",FALSE,"l10n_id_chart"
"a_1_180000","1180000","Uang Muka Pembelian","account.data_account_type_prepayments",FALSE,"l10n_id_chart"
"a_1_151001","1151001","Pajak Dibayar Dimuka PPH 22","account.data_account_type_prepayments",FALSE,"l10n_id_chart"
"a_1_151002","1151002","Pajak Dibayar Dimuka PPH 23","account.data_account_type_prepayments",FALSE,"l10n_id_chart"
"a_1_151003","1151003","Pajak Dibayar Dimuka PPH 25","account.data_account_type_prepayments",FALSE,"l10n_id_chart"
"a_1_221001","1221001","Tanah","account.data_account_type_prepayments",FALSE,"l10n_id_chart"
"a_1_221002","1221002","Bangunan Kantor","account.data_account_type_prepayments",FALSE,"l10n_id_chart"
"a_1_221003","1221003","Kendaraan","account.data_account_type_prepayments",FALSE,"l10n_id_chart"
"a_1_221004","1221004","Perlatan Kantor","account.data_account_type_prepayments",FALSE,"l10n_id_chart"
"a_1_221005","1221005","Software","account.data_account_type_prepayments",FALSE,"l10n_id_chart"
"a_1_221006","1221006","Furnitur Kantor","account.data_account_type_prepayments",FALSE,"l10n_id_chart"
"a_1_228101","1228101","Akum Peny Bangunan Kantor","account.data_account_type_prepayments",FALSE,"l10n_id_chart"
"a_1_228102","1228102","Akum Peny Kendaraan Kendaraan","account.data_account_type_prepayments",FALSE,"l10n_id_chart"
"a_1_228103","1228103","Akum Peny Peralatan Kantor","account.data_account_type_prepayments",FALSE,"l10n_id_chart"
"a_1_228104","1228104","Akum Peny Software","account.data_account_type_prepayments",FALSE,"l10n_id_chart"
"a_1_228105","1228105","Akum Peny Furnitur Kantor","account.data_account_type_prepayments",FALSE,"l10n_id_chart"
"a_2_110001","2110001","Hutang Usaha","account.data_account_type_payable",TRUE,"l10n_id_chart"
"a_2_110002","2110002","Hutang Pemegang Saham","account.data_account_type_current_liabilities",FALSE,"l10n_id_chart"
"a_2_110003","2110003","Hutang Pihak Ketiga","account.data_account_type_current_liabilities",FALSE,"l10n_id_chart"
"a_2_110004","2110004","Hutang Gaji","account.data_account_type_current_liabilities",FALSE,"l10n_id_chart"
"a_2_121001","2121001","Hutang Pajak PPh 21","account.data_account_type_current_liabilities",FALSE,"l10n_id_chart"
"a_2_121002","2121002","Hutang Pajak PPh 23","account.data_account_type_current_liabilities",FALSE,"l10n_id_chart"
"a_2_121003","2121003","Hutang Pajak PPh 25","account.data_account_type_current_liabilities",FALSE,"l10n_id_chart"
"a_2_121004","2121004","Hutang Pajak Pasal 4 (2)","account.data_account_type_current_liabilities",FALSE,"l10n_id_chart"
"a_2_121005","2121005","Hutang Pajak PPh 29","account.data_account_type_current_liabilities",FALSE,"l10n_id_chart"
"a_2_122101","2122101","PPN Keluaran","account.data_account_type_current_liabilities",FALSE,"l10n_id_chart"
"a_2_122102","2122102","PPN Masukan","account.data_account_type_current_liabilities",FALSE,"l10n_id_chart"
"a_2_211001","2211001","Hutang Bank","account.data_account_type_current_liabilities",FALSE,"l10n_id_chart"
"a_2_211002","2211002","Hutang Leasing","account.data_account_type_current_liabilities",FALSE,"l10n_id_chart"
"a_2_511001","2511001","BYMHD Listrik","account.data_account_type_current_liabilities",FALSE,"l10n_id_chart"
"a_2_511002","2511002","BYMHD Jamsostek","account.data_account_type_current_liabilities",FALSE,"l10n_id_chart"
"a_2_511003","2511003","BYMHD Air","account.data_account_type_current_liabilities",FALSE,"l10n_id_chart"
"a_2_511004","2511004","BYMHD Telepon","account.data_account_type_current_liabilities",FALSE,"l10n_id_chart"
"a_2_511005","2511005","BYMHD Jasa Pengelola Keamanan","account.data_account_type_current_liabilities",FALSE,"l10n_id_chart"
"a_2_511006","2511006","BYMHD Bank","account.data_account_type_current_liabilities",FALSE,"l10n_id_chart"
"a_2_511007","2511007","BYMHD PBB","account.data_account_type_current_liabilities",FALSE,"l10n_id_chart"
"a_2_511008","2511008","BYMHD Izin Usaha","account.data_account_type_current_liabilities",FALSE,"l10n_id_chart"
"a_2_511009","2511009","BYMHD Asuransi","account.data_account_type_current_liabilities",FALSE,"l10n_id_chart"
"a_2_511010","2511010","BYMHD Pendidikan dan Latihan","account.data_account_type_current_liabilities",FALSE,"l10n_id_chart"
"a_2_511011","2511011","BYMHD Jaminan Kesehatan/BPJS","account.data_account_type_current_liabilities",FALSE,"l10n_id_chart"
"a_2_811001","2811001","Uang Muka Penjualan","account.data_account_type_current_liabilities",FALSE,"l10n_id_chart"
"a_2_811002","2811002","Deposit Customer","account.data_account_type_current_liabilities",FALSE,"l10n_id_chart"
"a_2_811003","2811003","Poin Bonus","account.data_account_type_current_liabilities",FALSE,"l10n_id_chart"
"a_2_900000","2900000","Stock Interim","account.data_account_type_current_liabilities",FALSE,"l10n_id_chart"
"a_3_110001","3110001","Modal Dasar","account.data_account_type_equity",FALSE,"l10n_id_chart"
"a_3_110002","3110002","Modal Yang Disetor","account.data_account_type_equity",FALSE,"l10n_id_chart"
"a_3_110003","3110003","Modal Yang Belum Disetor","account.data_account_type_equity",FALSE,"l10n_id_chart"
"a_3_110004","3110004","Prive (Pengambilan Pribadi)","account.data_account_type_equity",FALSE,"l10n_id_chart"
"a_3_121001","3121001","Cadangan Modal","account.data_account_type_equity",FALSE,"l10n_id_chart"
"a_3_151001","3151001","Laba Rugi Tahun Lalu","account.data_account_type_equity",FALSE,"l10n_id_chart"
"a_3_151002","3151002","Laba Rugi Tahun Berjalan","account.data_account_type_equity",FALSE,"l10n_id_chart"
"a_3_900000","3900000","Historical Balance","account.data_account_type_equity",TRUE,"l10n_id_chart"
"a_4_100001","4100001","Penjualan","account.data_account_type_revenue",FALSE,"l10n_id_chart"
"a_4_200006","4200006","Retur Penjualan","account.data_account_type_revenue",FALSE,"l10n_id_chart"
"a_4_200007","4200007","Discount Penjualan","account.data_account_type_revenue",FALSE,"l10n_id_chart"
"a_5_100001","5100001","Harga Pokok Penjualan","account.data_account_type_direct_costs",FALSE,"l10n_id_chart"
"a_6_110001","6110001","Gaji Karyawan","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_110002","6110002","Tunjangan/ Bonus Karyawan","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_110003","6110003","Tunjangan Kesehatan Karyawan","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_110004","6110004","Pangan karyawan (catering)","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_110005","6110005","Lembur Karyawan","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_110006","6110006","Fee Jasa Keamanan","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_110007","6110007","Pakaian Kerja","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_110008","6110008","Tunjangan Ulang Tahun Karyawan","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_110009","6110009","Tunjangan Melahirkan Karyawan","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_110010","6110010","Tunjangan PPH Pasal 21","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_211001","6211001","Free Gift","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_211002","6211002","Event","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_211003","6211003","Advertising","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_211004","6211004","Pengiriman Barang Dagang","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_311001","6311001","Air Minum","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_311002","6311002","Keperluan Olahraga","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_311003","6311003","Iuran Bulanan","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_311004","6311004","Sumbangan","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_311005","6311005","Internet","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_311006","6311006","Telepon","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_311007","6311007","Pulsa","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_311008","6311008","Listrik","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_311009","6311009","PDAM","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_311010","6311010","Research & Development","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_311011","6311011","Keperluan Dapur","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_311012","6311012","Perlengkapan Kantor","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_311013","6311013","P3K","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_311014","6311014","Keperluan Lain-lain","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_311015","6311015","K3 (Pemadam Kebakaran)","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_311016","6311016","Perlengkapan Kebersihan","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_311018","6311018","Keperluan Owner","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_411001","6411001","Alat Tulis Kantor","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_411002","6411002","Keperluan Pos","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_411003","6411003","Jilid & Photocopy","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_411004","6411004","Iklan Lowongan Kerja","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_411005","6411005","Materai","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_511001","6511001","Biaya Perizinan","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_511002","6511002","Biaya Administrasi Bank","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_511003","6511003","Biaya Konsultan","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_511004","6511004","Biaya Sewa","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_511006","6511006","Biaya Pemeliharaan & Perawatan Gedung","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_511007","6511007","Biaya Perawatan Instalasi Listrik, telepon, internet","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_511008","6511008","Pajak","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_511009","6511009","Akomodasi Tamu","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_511010","6511010","Biaya Pemeliharaan & Perawatan Aset","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_511011","6511011","Biaya Pengiriman Dokumen/Barang","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_611001","6611001","BBM kendaraan","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_611002","6611002","Service kendaraan","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_611003","6611003","Parkir & tol kendaraan","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_611004","6611004","Pajak Kendaraan","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_611005","6611005","Asuransi Kendaraan","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_710001","6710001","Tanah","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_710002","6710002","Bangunan Kantor","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_710003","6710003","Kendaraan","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_710004","6710004","Perlatan Kantor","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_710005","6710005","Software","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_710006","6710006","Furnitur Kantor","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_6_900000","6900000","Biaya Lain-lain","account.data_account_type_expenses",FALSE,"l10n_id_chart"
"a_8_110001","8110001","Pendapatan Bunga","account.data_account_type_other_income",FALSE,"l10n_id_chart"
