id,name,code,user_type_id/id,chart_template_id/id,reconcile
pcg_10111,Capital souscrit non appelé,10111,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_10112,Capital souscrit - appelé non versé,10112,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_10113,"Capital souscrit appelé, versé",10113,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_1012,Fonds de dotation,1012,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_1013,Fonds d'exploitation,1013,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_1018,Autres fonds propres,1018,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_1031,Prime d’émission,1031,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_1032,Prime de fusion,1032,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_1033,Prime d’apports,1033,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_1034,Prime de conversion d’obligations en actions,1034,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_1035,Bons de souscription d’actions (BSA),1035,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_104,Ecart d’évaluation,104,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_1051,Ecart de réévaluation sur immobilisations corporelles,1051,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_1059,Ecart de réévaluation rapporté au résultat de l’exercice,1059,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_1061,Réserve légale,1061,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_10621,Réserves réglementées : Bénéfice taxé au taux réduit,10621,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_10622,Réserves réglementées : Plus value de cession à réinvestir,10622,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_1063,Réserves statutaires ou contractuelles,1063,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_1064,Réserves ordinaires,1064,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_1065,Réserves Spéciales consécutive à l’octroi d’avantages,1065,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_1066,Réserves facultatives,1066,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_1068,Autres réserves,1068,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_107,Écarts d'équivalence,107,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_108,Compte de l'exploitant,108,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_109,Actionnaires: capital souscrit - non appelé,109,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_110,Report à nouveau (bénéfice),110,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1151,Impact d'ajustement positif (plus value),1151,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1159,Impact d'ajustement négatif (moins value),1159,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1171,Impact d'assainissement comptable et financier : positif,1171,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1175,Ajustement résultant de correction d'estimation,1175,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1176,Ajustement résultant de correction d'erreurs comptables,1176,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1179,Impact d'assainissement comptable et financier : négatif,1179,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_118,Acompte sur dividendes,118,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_119,Report à nouveau (Déficit),119,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_120,Résultat net de l’exercice – (BENEFICE),120,account.data_account_type_revenue,l10n_dz_pcg_chart_template,False
pcg_121,Marge commerciale,121,account.data_account_type_revenue,l10n_dz_pcg_chart_template,False
pcg_122,Production de l’exercice,122,account.data_account_type_direct_costs,l10n_dz_pcg_chart_template,False
pcg_123,Valeur Ajoutée d’exploitation,123,account.data_account_type_direct_costs,l10n_dz_pcg_chart_template,False
pcg_124,Excédent (ou insuffisance) brut d’exploitation (EBE) – EBITDA,124,account.data_account_type_direct_costs,l10n_dz_pcg_chart_template,False
pcg_125,Résultat opérationnel,125,account.data_account_type_revenue,l10n_dz_pcg_chart_template,False
pcg_126,Résultat ordinaire avant impôts,126,account.data_account_type_revenue,l10n_dz_pcg_chart_template,False
pcg_127,Résultat extraordinaire,127,account.data_account_type_revenue,l10n_dz_pcg_chart_template,False
pcg_128,Résultat brut de l’exercice,128,account.data_account_type_revenue,l10n_dz_pcg_chart_template,False
pcg_129,Résultat net de l’exercice –(DEFICIT),129,account.data_account_type_revenue,l10n_dz_pcg_chart_template,False
pcg_1311,Subventions d’équipements: Financementde l'Etat,1311,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1312,Subventions d’équipements: Financement d'autres organismes,1312,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1313,Transfert gratuit d’immobilisations,1313,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1319,Subventions inscrites au compte de résultat,1319,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1321,Subventions d’investissement,1321,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1322,Subventions pour financement d'activités à long terme,1322,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1329,Autres subventions inscrites au compte de résultat,1329,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_133,Impôts différés actif,133,account.data_account_type_current_assets,l10n_dz_pcg_chart_template,False
pcg_134,Impôts différés passif,134,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1386,Charges différées – Passif non courant,1386,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1387,Produits différés – Passif non courant,1387,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1531,Provisions pour avantages au personnel (IDR–IFC),1531,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1551,Provision pour rappel d'impôts et amendes fiscales,1551,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_156,Provisions pour renouvellement des immobilisations (concession),156,account.data_account_type_fixed_assets,l10n_dz_pcg_chart_template,False
pcg_1581,Provisions pour remise en l’état ou de démantèlement,1581,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1582,Provision pour perte à terminaison (contrats déficitaires),1582,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1583,Provision pour procès et litiges (au-delà de 12 mois),1583,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1584,Provision pour garantie données aux clients (au-delà de 12 mois),1584,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1588,Autres provisions résultant d’obligation légale ou implicite,1588,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1611,Emprunt Principal (Titres),1611,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1618,Intérêts courus et non échus (Titres),1618,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1621,Emprunt Principal (obligataires convertibles),1621,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1628,Intérêts courus et non échus (obligataires convertibles),1628,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1631,Emprunt Principal (Autres emprunts obligataires),1631,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1638,Intérêts courus et non échus (Autres emprunts obligataires),1638,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1641,Emprunts  à Court  Terme,1641,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1642,Emprunts à Moyen Terme,1642,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1643,Emprunts à Long Terme,1643,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1646,Intérêts intercalaires,1646,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1648,Intérêts courus et non échus,1648,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1651,Dépôts reçus,1651,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1655,Cautionnements reçus,1655,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1658,Intérêts courus et non échus,1658,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1671,Financement Principal,1671,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1678,Intérêts courus et non échus,1678,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1681,Emprunt Principal,1681,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
