id,name,code,close_method,note,report_type
account.account_type_asset_view1,Asset View,asset,None,,Balance Sheet (Asset account)
account.data_account_type_asset,Asset,asset,Balance,,Balance Sheet (Asset account)
account.data_account_type_bank,Bank,bank,Balance,,Balance Sheet (Asset account)
account.data_account_type_cash,Cash,cash,Balance,,Balance Sheet (Asset account)
account.conf_account_type_chk,Check,check,Balance,,Balance Sheet (Asset account)
account.conf_account_type_equity,Equity,equity,Balance,,Balance Sheet (Liability account)
account.data_account_type_expense,Expense,expense,None,,Profit & Loss (Expense account)
account.account_type_expense_view1,Expense View,expense,None,,Profit & Loss (Expense account)
account.data_account_type_income,Income,income,None,,Profit & Loss (Income account)
account.account_type_liability_view1,Liability View,liability,None,,Balance Sheet (Liability account)
account.data_account_type_liability,Liability,liability,Balance,,Balance Sheet (Liability account)
account.data_account_type_payable,Payable,payable,Unreconciled,,Balance Sheet (Liability account)
account.data_account_type_receivable,Receivable,receivable,Unreconciled,,Balance Sheet (Asset account)
account.conf_account_type_tax,Tax,tax,Unreconciled,,Profit & Loss (Expense account)
account.account_type_income_view1,Income View,view,None,,Profit & Loss (Income account)
account.data_account_type_view,Root/View,view,None,,/
l10n_co.account_type_selling_costs,Selling Costs,sellingcosts,Balance,,Profit & Loss (Expense account)
l10n_co.account_type_stock,Stock/Inventory,stock,None,,Balance Sheet (Asset account)
l10n_co.account_type_production_costs,Production Costs,productioncosts,Balance,,Profit & Loss (Expense account)
l10n_co.account_type_auxiliaries,Auxiliary,aux,None,,/
