id,description,chart_template_id:id,type_tax_use,name,sequence,amount,price_include,amount_type
tax_iinc_04sv,INC04S>,l10n_co_chart_template_generic,sale,INC   4% SERV - OUT,310,0.04,,percent
tax_iinc_08sv,INC08S>,l10n_co_chart_template_generic,sale,INC   8% SERV - OUT,311,0.08,,percent
tax_iinc_08bv,INC08B>,l10n_co_chart_template_generic,sale,INC   8% BIEN - OUT,312,0.08,,percent
tax_iinc_16sv,INC16S>,l10n_co_chart_template_generic,sale,INC  16% SERV - OUT,313,0.16,,percent
tax_iinc_16bv,INC16B>,l10n_co_chart_template_generic,sale,INC  16% BIEN - OUT,314,0.16,,percent
tax_iinc_04sc,INC04S<,l10n_co_chart_template_generic,purchase,INC   4% SERV - IN,320,0.04,,percent
tax_iinc_08sc,INC08S<,l10n_co_chart_template_generic,purchase,INC   8% SERV - IN,321,0.08,,percent
tax_iinc_08bc,INC08B<,l10n_co_chart_template_generic,purchase,INC   8% BIEN - IN,322,0.08,,percent
tax_iinc_16sc,INC16S<,l10n_co_chart_template_generic,purchase,INC  16% SERV - IN,323,0.16,,percent
tax_iinc_16bc,INC16B<,l10n_co_chart_template_generic,purchase,INC  16% BIEN - IN,324,0.16,,percent
tax_iinc_08bc_IMP,INC08B<IM,l10n_co_chart_template_generic,purchase,INC   8% BIEN - IMP,325,0.08,,percent
tax_iinc_16bc_IMP,INC16B<IM,l10n_co_chart_template_generic,purchase,INC  16% BIEN - IMP,326,0.16,,percent
tax_arcree_004v,CREE04>,l10n_co_chart_template_generic,sale,CREE  4 ‰,350,1,,percent
tax_arcree_004v_AR,CREE04>\,l10n_co_chart_template_generic,sale,CREE  4 ‰ AUTORET,351,0.004,,percent
tax_arcree_004v_CP,CREE04>/,l10n_co_chart_template_generic,sale,CREE  4 ‰ CONTRAP,352,-0.004,,percent
tax_arcree_008v,CREE08>,l10n_co_chart_template_generic,sale,CREE  8 ‰,353,1,,percent
tax_arcree_008v_AR,CREE08>\,l10n_co_chart_template_generic,sale,CREE  8 ‰ AUTORET,354,0.008,,percent
tax_arcree_008v_CP,CREE08>/,l10n_co_chart_template_generic,sale,CREE  8 ‰ CONTRAP,355,-0.008,,percent
tax_arcree_016v,CREE16>,l10n_co_chart_template_generic,sale,CREE 16 ‰,356,1,,percent
tax_arcree_016v_AR,CREE16>\,l10n_co_chart_template_generic,sale,CREE 16 ‰ AUTORET,357,0.016,,percent
tax_arcree_016v_CP,CREE16>/,l10n_co_chart_template_generic,sale,CREE 16 ‰ CONTRAP,358,-0.016,,percent
tax_iiva_05bv,IVA05B>,l10n_co_chart_template_generic,sale,IVA   5%  BIEN - OUT,100,0.05,,percent
tax_iiva_05bv_EXT,IVA05B>EX,l10n_co_chart_template_generic,sale,IVA ( 5%) BIEN EXTERIOR -> 0% - OUT,110,0,,percent
tax_iiva_05bv_ZFR,IVA05B>ZF,l10n_co_chart_template_generic,sale,IVA ( 5%) BIEN ZONA FRANCA -> 0% - OUT,120,0,,percent
tax_iiva_05bv_SCI,IVA05B>SI,l10n_co_chart_template_generic,sale,IVA ( 5%) BIEN SOCEDAD COMMERCIO INTERNACIONAL -> 0% - OUT,130,0,,percent
tax_iiva_05sv,IVA05S>,l10n_co_chart_template_generic,sale,IVA   5%  SERV - OUT,101,0.05,,percent
tax_iiva_05sv_EXT,IVA05S>EX,l10n_co_chart_template_generic,sale,IVA ( 5%) SERV EXTERIOR -> 0% - OUT,111,0,,percent
tax_iiva_05sv_ZFR,IVA05S>ZF,l10n_co_chart_template_generic,sale,IVA ( 5%) SERV ZONA FRANCA -> 0% - OUT,121,0,,percent
