id,code_prefix,name,parent_id:id
group0,0,Cuentas de orden,
group1,1,Activo disponible y exigible,
group2,2,Activo realizable,
group3,3,Activo inmovilizado,
group4,4,Pasivo,
group5,5,Patrimonio Neto,
group6,6,Gastos por naturaleza,
group7,7,Ingresos,
group8,8,Saldos intrermediarios de gestión y determinación del resultado del ejercicio,
group01,01,Cuentas de Orden,group0
group02,02,Cuentas de Orden,group0
group10,10,EFECTIVO Y EQUIVALENTES DE EFECTIVO,group1
group11,11,INVERSIONES FINANCIERAS,group1
group12,12,CUENTAS POR COBRAR COMERCIALES – TERCEROS,group1
group13,13,CUENTAS POR COBRAR COMERCIALES – RELACIONADAS,group1
group14,14,"CUENTAS POR COBRAR AL PERSONAL, A LOS ACCIONISTAS (SOCIOS) y
DIRECTORES",group1
group16,16,CUENTAS POR COBRAR DIVERSAS – TERCEROS,group1
group17,17,CUENTAS POR COBRAR DIVERSAS – RELACIONADAS,group1
group18,18,SERVICIOS Y OTROS CONTRATADOS POR ANTICIPADO,group1
group19,19,ESTIMACIÓN DE CUENTAS DE COBRANZA DUDOSA,group1
group20,20,MERCADERÍAS,group2
group21,21,PRODUCTOS TERMINADOS,group2
group22,22,"SUBPRODUCTOS, DESECHOS Y DESPERDICIOS",group2
group23,23,PRODUCTOS EN PROCESO,group2
group24,24,MATERIAS PRIMAS,group2
group25,25,"MATERIALES AUXILIARES, SUMINISTROS Y REPUESTOS",group2
group26,26,ENVASES Y EMBALAJES,group2
group27,27,ACTIVOS NO CORRIENTES MANTENIDOS PARA LA VENTA,group2
group28,28,INVENTARIOS POR RECIBIR,group2
group29,29,DESVALORIZACIÓN DE INVENTARIOS,group2
group30,30,INVERSIONES MOBILIARIAS,group3
group31,31,PROPIEDADES DE INVERSIÓN,group3
group32,32,ACTIVOS POR DERECHO DE USO,group3
group33,33,"PROPIEDAD, PLANTA Y EQUIPO",group3
group34,34,INTANGIBLES,group3
group35,35,ACTIVOS BIOLÓGICOS,group3
group36,36,DESVALORIZACIÓN DE ACTIVO INMOVILIZADO,group3
group37,37,ACTIVO DIFERIDO,group3
group38,38,OTROS ACTIVOS,group3
group39,39,DEPRECIACIÓN y AMORTIZACIÓN ACUMULADOS,group3
group40,40,"TRIBUTOS, CONTRAPRESTACIONES Y APORTES AL SISTEMA PÚBLICO DE
PENSIONES Y DE SALUD POR PAGAR",group4
group41,41,REMUNERACIONES Y PARTICIPACIONES POR PAGAR,group4
group42,42,CUENTAS POR PAGAR COMERCIALES TERCEROS,group4
group43,43,CUENTAS POR PAGAR COMERCIALES RELACIONADAS,group4
group44,44,"CUENTAS POR PAGAR A LOS ACCIONISTAS (SOCIOS, PARTÍCIPES) Y
DIRECTORES",group4
group45,45,OBLIGACIONES FINANCIERAS,group4
group46,46,CUENTAS POR PAGAR DIVERSAS – TERCEROS,group4
group47,47,CUENTAS POR PAGAR DIVERSAS – RELACIONADAS,group4
group48,48,PROVISIONES,group4
group49,49,PASIVO DIFERIDO,group4
group50,50,CAPITAL,group5
group51,51,ACCIONES DE INVERSIÓN,group5
group52,52,CAPITAL ADICIONAL,group5
group56,56,RESULTADOS NO REALIZADOS,group5
group57,57,EXCEDENTE DE REVALUACIÓN,group5
group58,58,RESERVAS,group5
group59,59,RESULTADOS ACUMULADOS,group5
group60,60,COMPRAS,group6
group61,61,VARIACIÓN DE INVENTARIOS,group6
group62,62,GASTOS DE PERSONAL Y DIRECTORES,group6
group63,63,GASTOS DE SERVICIOS PRESTADOS POR TERCEROS,group6
