"id","code","name","description","account_type","reconcile","non_trade","name@pt","description@pt","asset_model_ids"
"account_template_101010101","1.01.01.01.01","Cash - Head Office","","asset_cash","","","Caixa Matriz","",""
"account_template_101010102","1.01.01.01.02","Cash - Branches","","asset_cash","","","Caixa Filiais","",""
"account_template_101010201","1.01.01.02.01","Banks Account Movement - In the Country","","asset_current","","","Bancos Conta Movimento - No País","",""
"account_template_101010202","1.01.01.02.02","Banks Account Movement - Abroad","","asset_current","","","Bancos Conta Movimento - No Exterior","",""
"account_template_101010401","1.01.01.04.01","Cash in Transit","","asset_receivable","True","","Numerários em Trânsito","",""
"account_template_101010402","1.01.01.04.02","Cash in Transit (PoS)","","asset_receivable","True","","Numerários em Trânsito (PoS)","",""
"account_template_101010501","1.01.01.05.01","Securities for Trading - Measured to Fair Value By Result (VJPR) - In the Country","","asset_current","","","Títulos para Negociação - Mensurados a Valor Justo Por Meio do Resultado (VJPR) - No País","",""
"account_template_101010502","1.01.01.05.02","Securities Available for Sale - In the Country","","asset_current","","","Títulos Disponíveis para Venda - No País","",""
"account_template_101010503","1.01.01.05.03","Held-to-Maturity Securities - In the Country","","asset_current","","","Títulos Mantidos até o Vencimento - No País","",""
"account_template_101010510","1.01.01.05.10","Debentures issued by Related Parties - In the Country","","asset_current","","","Debêntures emitidas por Partes Relacionadas - No País","",""
"account_template_101010511","1.01.01.05.11","Debentures Issued by Non-Related Parties - In the Country","","asset_current","","","Debêntures Emitidas por Partes Não Relacionadas - No País","",""
"account_template_101010515","1.01.01.05.15","Other Loans and Receivables - In the Country","","asset_current","","","Outros Empréstimos e Recebíveis - No País","",""
"account_template_101010550","1.01.01.05.50","(-) Interest to be Appropriated Arising from Adjustment to Present Value (AVP) - Securities - In the Country","","asset_current","","","(-) Juros a Apropriar Decorrentes de Ajuste a Valor Presente (AVP) - Valores Mobiliários - No País","",""
"account_template_101010555","1.01.01.05.55","(-) Losses by Recuperable Value (Impairment)- Securities - In the Country","","asset_current","","","(-) Perdas por Redução ao Valor Recuperável (Impairment)- Valores Mobiliários - No País","",""
"account_template_101010570","1.01.01.05.70","Subaccount - Fair Value Adjustment - Securities – No Hedge - In the Country","","asset_current","","","Subconta - Ajuste a Valor Justo - Valores Mobiliários – Não Hedge -No País","",""
"account_template_101010590","1.01.01.05.90","Subaccount – Initial Adoption - Securities – No Hedge - In the Country","","asset_current","","","Subconta – Adoção Inicial - Valores Mobiliários – Não Hedge - No País","",""
"account_template_101010601","1.01.01.06.01","Derivatives - Hedge Fair Value - In the Country","","asset_current","","","Derivativos - Hedge Valor Justo - No País","",""
"account_template_101010602","1.01.01.06.02","Derivatives - Cash Flow Hedge - In the Country","","asset_current","","","Derivativos - Hedge Fluxo de Caixa - No País","",""
"account_template_101010603","1.01.01.06.03","Derivatives - Hedge Foreign Investment - In the Country","","asset_current","","","Derivativos - Hedge Investimento no Exterior - No País","",""
"account_template_101010670","1.01.01.06.70","Subaccount - Fair Value Adjustment - Securities – Hedge - In the Country","","asset_current","","","Subconta - Ajuste a Valor Justo - Valores Mobiliários – Hedge - No País","",""
"account_template_101010690","1.01.01.06.90","Subaccount – Initial Adoption - Securities – Hedge - In the Country","","asset_current","","","Subconta – Adoção Inicial - Valores Mobiliários – Hedge - No País","",""
"account_template_101010901","1.01.01.09.01","Securities for Trading - Measured to Fair Value by Result (VJPR) - Abroad","","asset_current","","","Títulos para Negociação - Mensurados a Valor Justo por Meio de Resultado (VJPR) - No Exterior","",""
"account_template_101010902","1.01.01.09.02","Securities Available for Sale - Abroad","","asset_current","","","Títulos Disponíveis para Venda - No Exterior","",""
"account_template_101010903","1.01.01.09.03","Held-to-Maturity Securities - Abroad","","asset_current","","","Títulos Mantidos até o Vencimento - No Exterior","",""
"account_template_101010910","1.01.01.09.10","Debentures issued by Related Parties - Abroad","","asset_current","","","Debêntures emitidas por Partes Relacionadas - No Exterior","",""
"account_template_101010911","1.01.01.09.11","Debentures issued by Non-Related Parties - Abroad","","asset_current","","","Debêntures emitidas por Partes Não Relacionadas - No Exterior","",""
"account_template_101010915","1.01.01.09.15","Other Loans and Receivables - Abroad","","asset_current","","","Outros Empréstimos e Recebíveis - No Exterior","",""
"account_template_101010950","1.01.01.09.50","(-) Interest to be Appropriated Arising from Adjustment to Present Value (AVP) - Securities - Abroad","","asset_current","","","(-) Juros a Apropriar Decorrentes de Ajuste a Valor Presente (AVP) - Valores Mobiliários - No Exterior","",""
