year,date,holiday
2026,2026-01-01,New Year's Day
2026,2026-04-03,Good Friday
2026,2026-04-06,Easter Monday
2026,2026-05-18,Victoria Day
2026,2026-07-01,Canada Day
2026,2026-08-03,Civic/Provincial Day
2026,2026-09-07,Labour Day
2026,2026-09-30,National Day for Truth and Reconciliation
2026,2026-10-12,Thanksgiving Day
2026,2026-11-11,Remembrance Day
2026,2026-12-25,Christmas Day
2026,2026-12-26,Boxing Day / Christmas Holiday
2026,2026-12-28,Boxing Day / Christmas Holiday
2027,2027-01-01,New Year's Day
2027,2027-03-26,Good Friday
2027,2027-03-29,Easter Monday
2027,2027-05-24,Victoria Day
2027,2027-07-01,Canada Day
2027,2027-08-02,Civic/Provincial Day
2027,2027-09-06,Labour Day
2027,2027-09-30,National Day for Truth and Reconciliation
2027,2027-10-11,Thanksgiving Day
2027,2027-11-11,Remembrance Day
2027,2027-12-25,Christmas Day
2027,2027-12-26,Boxing Day / Christmas Holiday
2027,2027-12-27,Boxing Day / Christmas Holiday
2027,2027-12-28,Boxing Day / Christmas Holiday
2028,2028-01-01,New Year's Day
2028,2028-01-03,New Year's Day Holiday
2028,2028-04-14,Good Friday
2028,2028-04-17,Easter Monday
2028,2028-05-22,Victoria Day
2028,2028-07-01,Canada Day
2028,2028-07-03,Canada Day Holiday
2028,2028-08-07,Civic/Provincial Day
2028,2028-09-04,Labour Day
2028,2028-09-30,National Day for Truth and Reconciliation
2028,2028-10-02,National Day for Truth and Reconciliation Holiday
2028,2028-10-09,Thanksgiving Day
2028,2028-11-11,Remembrance Day
2028,2028-11-13,Remembrance Day Holiday
2028,2028-12-25,Christmas Day
2028,2028-12-26,Boxing Day / Christmas Holiday
2029,2029-01-01,New Year's Day
2029,2029-03-30,Good Friday
2029,2029-04-02,Easter Monday
2029,2029-05-21,Victoria Day
2029,2029-07-01,Canada Day
2029,2029-07-02,Canada Day Holiday
2029,2029-08-06,Civic/Provincial Day
2029,2029-09-03,Labour Day
2029,2029-09-30,National Day for Truth and Reconciliation
2029,2029-10-01,National Day for Truth and Reconciliation Holiday
2029,2029-10-08,Thanksgiving Day
2029,2029-11-11,Remembrance Day
2029,2029-11-12,Remembrance Day Holiday
2029,2029-12-25,Christmas Day
2029,2029-12-26,Boxing Day / Christmas Holiday
2030,2030-01-01,New Year's Day
2030,2030-04-19,Good Friday
2030,2030-04-22,Easter Monday
2030,2030-05-20,Victoria Day
2030,2030-07-01,Canada Day
2030,2030-08-05,Civic/Provincial Day
2030,2030-09-02,Labour Day
2030,2030-09-30,National Day for Truth and Reconciliation
2030,2030-10-14,Thanksgiving Day
2030,2030-11-11,Remembrance Day
2030,2030-12-25,Christmas Day
2030,2030-12-26,Boxing Day / Christmas Holiday
2031,2031-01-01,New Year's Day
2031,2031-04-11,Good Friday
2031,2031-04-14,Easter Monday
2031,2031-05-19,Victoria Day
2031,2031-07-01,Canada Day
2031,2031-08-04,Civic/Provincial Day
2031,2031-09-01,Labour Day
2031,2031-09-30,National Day for Truth and Reconciliation
2031,2031-10-13,Thanksgiving Day
2031,2031-11-11,Remembrance Day
2031,2031-12-25,Christmas Day
2031,2031-12-26,Boxing Day / Christmas Holiday
2032,2032-01-01,New Year's Day
2032,2032-03-26,Good Friday
