id,l10n_eg_unit_code_id/id
uom.product_uom_day,l10n_eg_edi_uom_code_DAY
uom.product_uom_hour,l10n_eg_edi_uom_code_HUR
uom.product_uom_litre,l10n_eg_edi_uom_code_LTR
uom.product_uom_unit,l10n_eg_edi_uom_code_C62
uom.product_uom_cm,l10n_eg_edi_uom_code_CMT
uom.product_uom_foot,l10n_eg_edi_uom_code_FOT
uom.product_uom_gram,l10n_eg_edi_uom_code_GRM
uom.product_uom_inch,l10n_eg_edi_uom_code_INH
uom.product_uom_kgm,l10n_eg_edi_uom_code_KGM
uom.product_uom_km,l10n_eg_edi_uom_code_KMT
uom.product_uom_lb,l10n_eg_edi_uom_code_LB
uom.product_uom_meter,l10n_eg_edi_uom_code_M
uom.product_uom_mile,l10n_eg_edi_uom_code_SMI
