id,description,chart_template_id/id,name,amount,amount_type,type_tax_use,sequence,account_id/id,refund_account_id/id,tag_ids/id,"children_tax_ids/id"
rrif_pdv_25,PDV 25%,l10n_hr_chart_template_rrif,25% PDV,25,percent,sale,10,kp_rrif24003,kp_rrif24003,"tag_hr_38,tag_hr_18",
rrif_pdv_25usl,PDV 25% Usluge,l10n_hr_chart_template_rrif,25% PDV usluge,25,percent,sale,100,kp_rrif24003,kp_rrif24003,"tag_hr_18,tag_hr_38",
rrif_pdv_10,PDV 10%,l10n_hr_chart_template_rrif,10% PDV,10,percent,sale,100,kp_rrif24000,kp_rrif24000,"tag_hr_36,tag_hr_16",
rrif_pdv_0,PDV  0%,l10n_hr_chart_template_rrif,0% PDV,0,percent,sale,100,kp_rrif4199,kp_rrif4199,tag_hr_14,
rrif_pdv_avans_25,PDV za predujam 25%,l10n_hr_chart_template_rrif,25% PDV (za predujam),25,percent,sale,100,kp_rrif24013,kp_rrif24013,"tag_hr_18,tag_hr_38",
rrif_pdv_avans_10,PDV za predujam 10%,l10n_hr_chart_template_rrif,10% PDV (za predujam),10,percent,sale,100,kp_rrif24010,kp_rrif24010,"tag_hr_16,tag_hr_36",
rrif_pdv_avans_0,PDV za predujam 0%,l10n_hr_chart_template_rrif,0% PDV (za predujam),0,percent,sale,100,kp_rrif4199,kp_rrif4199,tag_hr_14,
rrif_pdv_nezar_isp_25,PDV po nezaračunanim isporukama 25%,l10n_hr_chart_template_rrif,25% PDV za nezaračunane isp.,25,percent,sale,100,kp_rrif24033,kp_rrif24033,"tag_hr_18,tag_hr_38",
rrif_pdv_nezar_isp_10,PDV po nezaračunanim isporukama 10%,l10n_hr_chart_template_rrif,10% PDV za nezaračunane isp.,10,percent,sale,100,kp_rrif24030,kp_rrif24030,"tag_hr_16,tag_hr_36",
rrif_pdv_nezar_isp_0,PDV po nezaračunanim isporukama 0%,l10n_hr_chart_template_rrif,0% PDV za nezaračunane isp.,0,percent,sale,100,kp_rrif4199,kp_rrif4199,tag_hr_14,
rrif_pdv_nepod_0,1. KOJE NE PODLIJEŽU OPOREZIVANJU (čl. 2. u svezi s čl. 5 i čl. 8 st. 7 Zakona),l10n_hr_chart_template_rrif,0% Ne podliježe op.,0,percent,sale,100,kp_rrif4199,kp_rrif4199,tag_hr_08,
rrif_pdv_osl_izvoz_0,2.1. IZVOZNE - s pravom na odbitak pretporeza (čl. 13. st. 1. toč. 1. i čl. 14. Zakona),l10n_hr_chart_template_rrif,0% osl. izvozne,0,percent,sale,100,kp_rrif4199,kp_rrif4199,tag_hr_10,
rrif_pdv_osl_medpri_0,2.2. U VEZI S MEĐUNARODNIM PRIJEVOZOM  (čl. 13.b Zakona),l10n_hr_chart_template_rrif,0% osl. međ. prijevoz,0,percent,sale,100,kp_rrif4199,kp_rrif4199,tag_hr_11,
rrif_pdv_osl_tuz_0,2.3. TUZEMNE - bez prava na odbitak pretporeza (čl. 11. i čl. 11a Zakona),l10n_hr_chart_template_rrif,0% osl tuzemne,0,percent,sale,100,kp_rrif4199,kp_rrif4199,tag_hr_12,
rrif_pdv_osl_ost_0,2.4. OSTALO (čl. 13. st. 1. toč. 2. I čl. 13a Zakona) ,l10n_hr_chart_template_rrif,0% osl. ostalo,0,percent,sale,100,kp_rrif4199,kp_rrif4199,tag_hr_13,
rrif_pp_25,Pretporez 25% PDV,l10n_hr_chart_template_rrif,25% PDV pretporez,25,percent,purchase,10,kp_rrif14003,kp_rrif14003,tag_hr_43,
rrif_pp_25usl,Pretporez 25% PDV Usluge,l10n_hr_chart_template_rrif,25% PDV pretporez usluge,25,percent,purchase,100,kp_rrif14003,kp_rrif14003,tag_hr_43,
rrif_pp_10,Pretporez 10% PDV,l10n_hr_chart_template_rrif,10% PDV pretporez,10,percent,purchase,10,kp_rrif14000,kp_rrif14000,"tag_hr_41,tag_hr_22",
rrif_pp_0,Pretporez 0% PDV,l10n_hr_chart_template_rrif,0% PDV pretporez,0,percent,purchase,100,kp_rrif4199,kp_rrif4199,tag_hr_31,
rrif_pp_avans_25,Pretporez za predujam 25% PDV,l10n_hr_chart_template_rrif,25% PDV pretporez za predujam,25,percent,purchase,100,kp_rrif14013,kp_rrif14013,tag_hr_43,
rrif_pp_avans_0,Pretporez za predujam 0% PDV,l10n_hr_chart_template_rrif,0% PDV pretporez za predujam,0,percent,purchase,100,kp_rrif4199,kp_rrif4199,tag_hr_31,
rrif_pp_uvoz_25,Plaćeni PDV 25% pri uvozu dobara,l10n_hr_chart_template_rrif,25% uvoz dobara,25,percent,purchase,100,kp_rrif14023,kp_rrif14023,"tag_hr_44,tag_hr_27",
rrif_pp_uvoz_10,Plaćeni PDV 10% pri uvozu dobara,l10n_hr_chart_template_rrif,10% uvoz dobara,10,percent,purchase,10,kp_rrif14020,kp_rrif14020,"tag_hr_44,tag_hr_27",
rrif_pp_uvoz_0,Plaćeni PDV 0% pri uvozu dobara,l10n_hr_chart_template_rrif,0% uvoz dobara,0,percent,purchase,100,kp_rrif4199,kp_rrif4199,tag_hr_27,
rrif_pp_ino_25,Plaćeni PDV 25% na usluge inozemnih poduzetnika,l10n_hr_chart_template_rrif,25% ino. usluge,25,percent,purchase,100,kp_rrif14033,kp_rrif14033,"tag_hr_30,tag_hr_27_cred,tag_hr_47",
rrif_pp_ino_10,Plaćeni PDV 10% na usluge inozemnih poduzetnika,l10n_hr_chart_template_rrif,10% ino. usluge,10,percent,purchase,100,kp_rrif14030,kp_rrif14030,"tag_hr_28,tag_hr_27_cred,tag_hr_45",
rrif_ppr2_25,25% R-2 dobavljač,l10n_hr_chart_template_rrif,25% R-2 dobavljač,25,percent,purchase,100,kp_rrif1409,kp_rrif1409,"tag_hr_77,tag_hr_70",
rrif_pp_uvoz_samopdv_25,Samo PDV kod uvoza 25%,l10n_hr_chart_template_rrif,Samo PDV kod uvoza 25%,25,percent,purchase,100,kp_rrif4199,kp_rrif4199,"tag_hr_67,tag_hr_78",
rrif_pp_uvoz_samopdv_25usl,Samo PDV kod uvoza 25% usluge,l10n_hr_chart_template_rrif,Samo PDV kod uvoza 25% usluge,25,percent,purchase,100,kp_rrif4199,kp_rrif4199,"tag_hr_67,tag_hr_79",
rrif_ppdnp1_3070_30_3,pp 30% nep.(25%),l10n_hr_chart_template_rrif,pp 30% nep.(25%),7.5,percent,none,100,kp_rrif4199,kp_rrif4199,tag_hr_75,
rrif_ppdnp1_3070_70_3,pp 70% priz.(25%),l10n_hr_chart_template_rrif,Pp 70% priz.(25%),17.5,percent,none,100,kp_rrif14002,kp_rrif14002,tag_hr_43,
rrif_ppdnp1_3070_1,pp 30% Nepriznat 70% Priznat,l10n_hr_chart_template_rrif,pp 30% Nepriznat 70% Priznat,100,group,purchase,100,kp_rrif4199,kp_rrif4199,"tag_hr_68,tag_hr_25","rrif_ppdnp1_3070_30_3,rrif_ppdnp1_3070_70_3"
rrif_ppdnp1_7030_70_3,Pp 70% nep.(25%),l10n_hr_chart_template_rrif,Pp 70% nep.(25%),17.5,percent,none,100,kp_rrif4199,kp_rrif4199,tag_hr_75,
rrif_ppdnp1_7030_30_3,Pp 30% priz.(25%),l10n_hr_chart_template_rrif,Pp 30% priz.(25%),7.5,percent,none,100,kp_rrif14002,kp_rrif14002,tag_hr_43,
rrif_ppdnp1_7030_1,pp 70% Nepriznat 30% Priznat,l10n_hr_chart_template_rrif,pp 70% Nepriznat 30% Priznat,100,group,purchase,100,kp_rrif4199,kp_rrif4199,"tag_hr_69,tag_hr_26","rrif_ppdnp1_7030_70_3,rrif_ppdnp1_7030_30_3"
rrif_ppdnp1_3070_30_3_r2,R2 pp 30% nep.(25%),l10n_hr_chart_template_rrif,R2 pp 30% nep.(25%),7.5,percent,none,100,kp_rrif4199,kp_rrif4199,tag_hr_77,
rrif_ppdnp1_3070_70_3_r2,R2 pp 70% priz.(25%),l10n_hr_chart_template_rrif,R2 pp 70% priz.(25%),17.5,percent,none,100,kp_rrif1408,kp_rrif1408,tag_hr_75,
