"id","name","description","tax_scope","active","invoice_label","amount","sequence","amount_type","type_tax_use","tax_group_id","active","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/factor_percent","repartition_line_ids/tag_ids","repartition_line_ids/account_id","name@gr","description@gr","fiscal_position_ids","original_tax_ids","invoice_legal_notes"
"l10n_gr_tax_s24_G","24% G","Sales VAT 24% goods for Greece (apart from the Aegean Islands)","","","24%","24.0","1","percent","sale","l10n_gr_tax_group_24","","base","invoice","","+303","","","ΦΠΑ πωλήσεων 24% για την Ελλάδα (εκτός των νησιών του Αιγαίου)","fiscal_position_template_domestic,fiscal_position_template_4","",""
"","","","","","","","","","","","","tax","invoice","","+333","l10n_gr_54_02_01","","","","",""
"","","","","","","","","","","","","base","refund","","-303","","","","","",""
"","","","","","","","","","","","","tax","refund","","-333","l10n_gr_54_02_01","","","","",""
"l10n_gr_tax_s13_G","13% G","Sales VAT 13% goods for Greece (apart from the Aegean Islands)","","False","13%","13.0","1","percent","sale","l10n_gr_tax_group_13","False","base","invoice","","+301","","","ΦΠΑ πωλήσεων 13% για την Ελλάδα (εκτός από τα νησιά του Αιγαίου)","fiscal_position_template_domestic,fiscal_position_template_4","",""
"","","","","","","","","","","","","tax","invoice","","+331","l10n_gr_54_02_01","","","","",""
"","","","","","","","","","","","","base","refund","","-301","","","","","",""
"","","","","","","","","","","","","tax","refund","","-331","l10n_gr_54_02_01","","","","",""
"l10n_gr_tax_s6_G","6% G","Sales VAT 6% goods for Greece (apart from the Aegean Islands)","","False","6%","6.0","1","percent","sale","l10n_gr_tax_group_6","False","base","invoice","","+302","","","ΦΠΑ πωλήσεων 6% για την Ελλάδα (εκτός των νησιών του Αιγαίου)","fiscal_position_template_domestic,fiscal_position_template_4","",""
"","","","","","","","","","","","","tax","invoice","","+332","l10n_gr_54_02_01","","","","",""
"","","","","","","","","","","","","base","refund","","-302","","","","","",""
"","","","","","","","","","","","","tax","refund","","-332","l10n_gr_54_02_01","","","","",""
"l10n_gr_tax_s9_G","9% G","Sales VAT 9% goods for the Aegean Islands","","False","9%","9.0","1","percent","sale","l10n_gr_tax_group_9","False","base","invoice","","+304","","","ΦΠΑ πωλήσεων 9% για τα νησιά του Αιγαίου","fiscal_position_template_domestic_aegan,fiscal_position_template_domestic,fiscal_position_template_4","l10n_gr_tax_s13_G",""
"","","","","","","","","","","","","tax","invoice","","+334","l10n_gr_54_02_01","","","","",""
"","","","","","","","","","","","","base","refund","","-304","","","","","",""
"","","","","","","","","","","","","tax","refund","","-334","l10n_gr_54_02_01","","","","",""
"l10n_gr_tax_s4_G","4% G","Sales VAT 4% goods for the Aegean Islands","","False","4%","4.0","1","percent","sale","l10n_gr_tax_group_4","False","base","invoice","","+305","","","ΦΠΑ πωλήσεων 4% για τα νησιά του Αιγαίου","fiscal_position_template_domestic_aegan,fiscal_position_template_domestic,fiscal_position_template_4","l10n_gr_tax_s6_G",""
"","","","","","","","","","","","","tax","invoice","","+335","l10n_gr_54_02_01","","","","",""
"","","","","","","","","","","","","base","refund","","-305","","","","","",""
"","","","","","","","","","","","","tax","refund","","-335","l10n_gr_54_02_01","","","","",""
"l10n_gr_tax_s17_G","17% G","Sales VAT 17% goods for the Aegean Islands","","False","17%","17.0","1","percent","sale","l10n_gr_tax_group_17","False","base","invoice","","+306","","","ΦΠΑ πωλήσεων 17% για τα νησιά του Αιγαίου","fiscal_position_template_domestic_aegan,fiscal_position_template_domestic,fiscal_position_template_4","l10n_gr_tax_s24_G",""
"","","","","","","","","","","","","tax","invoice","","+336","l10n_gr_54_02_01","","","","",""
"","","","","","","","","","","","","base","refund","","-306","","","","","",""
"","","","","","","","","","","","","tax","refund","","-336","l10n_gr_54_02_01","","","","",""
"l10n_gr_tax_s24_S","24% S","Sales VAT 24% services for Greece (apart from the Aegean Islands)","","","24%","24.0","1","percent","sale","l10n_gr_tax_group_24","","base","invoice","","+303","","","ΦΠΑ πωλήσεων 24% για την Ελλάδα (εκτός των νησιών του Αιγαίου)","fiscal_position_template_domestic,fiscal_position_template_4","",""
"","","","","","","","","","","","","tax","invoice","","+333","l10n_gr_54_02_01","","","","",""
"","","","","","","","","","","","","base","refund","","-303","","","","","",""
"","","","","","","","","","","","","tax","refund","","-333","l10n_gr_54_02_01","","","","",""
"l10n_gr_tax_s13_S","13% S","Sales VAT 13% services for Greece (apart from the Aegean Islands)","","False","13%","13.0","1","percent","sale","l10n_gr_tax_group_13","False","base","invoice","","+301","","","ΦΠΑ πωλήσεων 13% για την Ελλάδα (εκτός από τα νησιά του Αιγαίου)","fiscal_position_template_domestic,fiscal_position_template_4","",""
"","","","","","","","","","","","","tax","invoice","","+331","l10n_gr_54_02_01","","","","",""
"","","","","","","","","","","","","base","refund","","-301","","","","","",""
"","","","","","","","","","","","","tax","refund","","-331","l10n_gr_54_02_01","","","","",""
"l10n_gr_tax_s6_S","6% S","Sales VAT 6% services for Greece (apart from the Aegean Islands)","","False","6%","6.0","1","percent","sale","l10n_gr_tax_group_6","False","base","invoice","","+302","","","ΦΠΑ πωλήσεων 6% για την Ελλάδα (εκτός των νησιών του Αιγαίου)","fiscal_position_template_domestic,fiscal_position_template_4","",""
"","","","","","","","","","","","","tax","invoice","","+332","l10n_gr_54_02_01","","","","",""
"","","","","","","","","","","","","base","refund","","-302","","","","","",""
"","","","","","","","","","","","","tax","refund","","-332","l10n_gr_54_02_01","","","","",""
"l10n_gr_tax_s9_S","9% S","Sales VAT 9% services for the Aegean Islands","","False","9%","9.0","1","percent","sale","l10n_gr_tax_group_9","False","base","invoice","","+304","","","ΦΠΑ πωλήσεων 9% για τα νησιά του Αιγαίου","fiscal_position_template_domestic_aegan,fiscal_position_template_domestic,fiscal_position_template_4","l10n_gr_tax_s13_S",""
"","","","","","","","","","","","","tax","invoice","","+334","l10n_gr_54_02_01","","","","",""
"","","","","","","","","","","","","base","refund","","-304","","","","","",""
