id,code,name,account_type,chart_template_id/id,tag_ids/id,reconcile
a1010,1010,Utvecklingsutgifter,asset_non_current,l10nse_chart_template_K3,l10n_se.account_tag_1,False
a1011,1011,Balanserade utgifter för utveckling,asset_non_current,l10nse_chart_template_K3,l10n_se.account_tag_1,False
a1012,1012,Balanserade utgifter för programvaror,asset_non_current,l10nse_chart_template_K3,l10n_se.account_tag_1,False
a1018,1018,Ackumulerade nedskrivningar på balanserade utgifter,asset_non_current,l10nse_chart_template_K3,l10n_se.account_tag_1,False
a1019,1019,Ackumulerade avskrivningar på balanserade utgifter,asset_non_current,l10nse_chart_template_K3,l10n_se.account_tag_1,False
a1081,1081,Pågående projekt för immateriella anläggningstillgångar,asset_non_current,l10nse_chart_template_K3,l10n_se.account_tag_1,False
a1088,1088,Förskott för immateriella anläggningstillgångar,asset_non_current,l10nse_chart_template_K3,l10n_se.account_tag_1,False
a1260,1260,Leasade tillgångar,asset_non_current,l10nse_chart_template_K3,l10n_se.account_tag_2,False
a1269,1269,Ackumulerade avskrivningar på leasade tillgångar,asset_non_current,l10nse_chart_template_K3,l10n_se.account_tag_2,False
a1370,1370,Uppskjuten skattefordran,asset_non_current,l10nse_chart_template_K3,l10n_se.account_tag_3,False
a2092,2092,Mottagna/Lämnade koncernbidrag,equity,l10nse_chart_template_K3,"l10n_se.account_tag_40",False
a2096,2096,Fond för verkligt värde,equity,l10nse_chart_template_K3,"l10n_se.account_tag_11",False
a2240,2240,Avsättningar för uppskjutna skatter,liability_non_current,l10nse_chart_template_K3,l10n_se.account_tag_19,False
a3940,3940,Orealiserade negativa/positiva värdeförändringar på säkringsinstrument,income_other,l10nse_chart_template_K3,l10n_se.account_tag_31,False
a7940,7940,Orealiserade positiva/negativa värdeförändringar på säkringsinstrument,expense,l10nse_chart_template_K3,"l10n_se.account_tag_32",False
a8290,8290,"Värdering till verkligt värde, anläggningstillgångar",income_other,l10nse_chart_template_K3,l10n_se.account_tag_33,False
a8291,8291,Orealiserade värdeförändringar på anläggningstillgångar,income_other,l10nse_chart_template_K3,l10n_se.account_tag_33,False
a8295,8295,Orealiserade värdeförändringar på derivatinstrument,income_other,l10nse_chart_template_K3,l10n_se.account_tag_33,False
a8320,8320,"Värdering till verkligt värde, omsättningstillgångar",income_other,l10nse_chart_template_K3,l10n_se.account_tag_33,False
a8321,8321,Orealiserade värdeförändringar på omsättningstillgångar,income_other,l10nse_chart_template_K3,l10n_se.account_tag_33,False
a8325,8325,Ränteintäkter från omsättningstillgångar,income_other,l10nse_chart_template_K3,l10n_se.account_tag_33,False
a8450,8450,Orealiserade värdeförändringar på skulder,income_other,l10nse_chart_template_K3,l10n_se.account_tag_33,False
a8451,8451,Orealiserade värdeförändringar på skulder,income_other,l10nse_chart_template_K3,l10n_se.account_tag_33,False
a8455,8455,Orealiserade värdeförändringar på säkringsinstrument,income_other,l10nse_chart_template_K3,l10n_se.account_tag_33,False
a8480,8480,Aktiverade ränteutgifter,income_other,l10nse_chart_template_K3,l10n_se.account_tag_33,False
a8940,8940,Uppskjuten skatt,expense,l10nse_chart_template_K3,l10n_se.account_tag_35,False
