"id","name","auto_apply","country_id","tax_ids/tax_src_id","tax_ids/tax_dest_id"
"fiscal_position_vat0","Дотоодын борлуулалт - Худалдан авалт","1","base.mn","",""
"fiscal_position_vat2","НӨАТ 0% (3000000)","","","account_tax_sale_vat1","account_tax_sale_vat2"
"","","","","account_tax_sale_vat4","account_tax_sale_vat2"
"","","","","account_tax_sale_vat5","account_tax_sale_vat2"
"","","","","account_tax_sale_vat6","account_tax_sale_vat2"
"","","","","account_tax_sale_vat7","account_tax_sale_vat2"
"","","","","account_tax_sale_vat8","account_tax_sale_vat2"
"","","","","account_tax_sale_vat9","account_tax_sale_vat2"
"","","","","account_tax_sale_vat10","account_tax_sale_vat2"
"","","","","account_tax_sale_vat11","account_tax_sale_vat2"
"","","","","account_tax_sale_vat12","account_tax_sale_vat2"
"","","","","account_tax_sale_vat13","account_tax_sale_vat2"
"","","","","account_tax_sale_vat14","account_tax_sale_vat2"
"","","","","account_tax_sale_vat15","account_tax_sale_vat2"
"","","","","account_tax_sale_vat16","account_tax_sale_vat2"
"","","","","account_tax_sale_vat17","account_tax_sale_vat2"
"","","","","account_tax_sale_vat18","account_tax_sale_vat2"
"","","","","account_tax_sale_vat19","account_tax_sale_vat2"
"","","","","account_tax_sale_vat20","account_tax_sale_vat2"
"","","","","account_tax_sale_vat21","account_tax_sale_vat2"
"","","","","account_tax_sale_vat22","account_tax_sale_vat2"
"fiscal_position_vat3","НӨАТ-гүй (2000000)","","","account_tax_sale_vat1","account_tax_sale_vat3"
"","","","","account_tax_sale_vat4","account_tax_sale_vat3"
"","","","","account_tax_sale_vat5","account_tax_sale_vat3"
"","","","","account_tax_sale_vat6","account_tax_sale_vat3"
"","","","","account_tax_sale_vat7","account_tax_sale_vat3"
"","","","","account_tax_sale_vat8","account_tax_sale_vat3"
"","","","","account_tax_sale_vat9","account_tax_sale_vat3"
"","","","","account_tax_sale_vat10","account_tax_sale_vat3"
"","","","","account_tax_sale_vat11","account_tax_sale_vat3"
"","","","","account_tax_sale_vat12","account_tax_sale_vat3"
"","","","","account_tax_sale_vat13","account_tax_sale_vat3"
"","","","","account_tax_sale_vat14","account_tax_sale_vat3"
"","","","","account_tax_sale_vat3","account_tax_sale_vat15"
"","","","","account_tax_sale_vat16","account_tax_sale_vat3"
"","","","","account_tax_sale_vat17","account_tax_sale_vat3"
"","","","","account_tax_sale_vat18","account_tax_sale_vat3"
"","","","","account_tax_sale_vat19","account_tax_sale_vat3"
"","","","","account_tax_sale_vat20","account_tax_sale_vat3"
"","","","","account_tax_sale_vat21","account_tax_sale_vat3"
"","","","","account_tax_sale_vat22","account_tax_sale_vat3"
"fiscal_position_vat4","Гадаад борлуулалт - Худалдан авалт","1","","account_tax_sale_vat1","account_tax_sale_vat23"
"","","","","account_tax_sale_vat4","account_tax_sale_vat23"
"","","","","account_tax_sale_vat5","account_tax_sale_vat23"
"","","","","account_tax_sale_vat6","account_tax_sale_vat23"
"","","","","account_tax_sale_vat7","account_tax_sale_vat23"
"","","","","account_tax_sale_vat8","account_tax_sale_vat24"
"","","","","account_tax_sale_vat9","account_tax_sale_vat24"
"","","","","account_tax_sale_vat10","account_tax_sale_vat24"
"","","","","account_tax_sale_vat11","account_tax_sale_vat24"
"","","","","account_tax_sale_vat12","account_tax_sale_vat24"
"","","","","account_tax_sale_vat13","account_tax_sale_vat24"
"","","","","account_tax_sale_vat14","account_tax_sale_vat24"
"","","","","account_tax_sale_vat24","account_tax_sale_vat15"
"","","","","account_tax_sale_vat16","account_tax_sale_vat24"
"","","","","account_tax_sale_vat17","account_tax_sale_vat24"
"","","","","account_tax_sale_vat18","account_tax_sale_vat24"
"","","","","account_tax_sale_vat19","account_tax_sale_vat24"
"","","","","account_tax_sale_vat20","account_tax_sale_vat24"
"","","","","account_tax_sale_vat21","account_tax_sale_vat24"
"","","","","account_tax_sale_vat22","account_tax_sale_vat24"
"","","","","account_tax_purchase_vat1","account_tax_purchase_vat2"
