"id","name","description","invoice_label","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id"
"tax0sale","EXENTO","Exento","E","0.0","percent","sale","tax_group_iva_0","base","invoice",""
"","","","","","","","","tax","invoice",""
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund",""
"tax1sale","16%","IVA 16%","G","16.0","percent","sale","tax_group_iva_2","base","invoice",""
"","","","","","","","","tax","invoice","account_account_2102004"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","account_account_2102004"
"tax2sale","8%","IVA 8%","R","8.0","percent","sale","tax_group_iva_1","base","invoice",""
"","","","","","","","","tax","invoice","account_account_2102004"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","account_account_2102004"
"tax3sale","31%","IVA 31%","A","31.0","percent","sale","tax_group_iva_3","base","invoice",""
"","","","","","","","","tax","invoice","account_account_2102004"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","account_account_2102004"
"tax0purchase","EXENTO","Exento","E","0.0","percent","purchase","tax_group_iva_0","base","invoice",""
"","","","","","","","","tax","invoice",""
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund",""
"tax1purchase","16%","IVA 16%","G","16.0","percent","purchase","tax_group_iva_2","base","invoice",""
"","","","","","","","","tax","invoice","account_account_1107001"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","account_account_1107001"
"tax2purchase","8%","IVA 8%","R","8.0","percent","purchase","tax_group_iva_1","base","invoice",""
"","","","","","","","","tax","invoice","account_account_1107001"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","account_account_1107001"
"tax3purchase","31%","IVA 31%","A","31.0","percent","purchase","tax_group_iva_3","base","invoice",""
"","","","","","","","","tax","invoice","account_account_1107001"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","account_account_1107001"
