id,description,chart_template_id:id,type_tax_use,name,amount_type,amount,account_id:id,refund_account_id:id,children_tax_ids:id,tag_ids:id,tax_group_id:id
ST0,ST0,l10n_uk,sale,Zero rated sales,percent,0,2200,2200,,"vat_tag_box1,vat_tag_box6",tax_group_0
ST2,ST2,l10n_uk,sale,Exempt sales,percent,0,2200,2200,,"vat_tag_box1,vat_tag_box6",tax_group_0
PT0,PT0,l10n_uk,purchase,Zero rated purchases,percent,0,2201,2201,,"vat_tag_box4,vat_tag_box7",tax_group_0
PT2,PT2,l10n_uk,purchase,Exempt purchases,percent,0,2201,2201,,"vat_tag_box4,vat_tag_box7",tax_group_0
PT8M,PT8M,l10n_uk,none,Standard rated purchases from EC,percent,20,2201,2201,,vat_tag_box2,tax_group_0
PT8R,PT8R,l10n_uk,none,Reverse EC Purchase VAT,percent,-20,2201,2201,,vat_tag_box4,tax_group_0
PT8,PT8,l10n_uk,purchase,Standard rated purchases from EC,group,,2201,2201,"PT8M,PT8R","vat_tag_box9,vat_tag_box2",tax_group_0
PT5,PT5,l10n_uk,purchase,Lower rate purchases (5%),percent,5,2201,2201,,"vat_tag_box7,vat_tag_box4",tax_group_5
ST5,ST5,l10n_uk,sale,Lower rate sales (5%),percent,5,2200,2200,,"vat_tag_box1,vat_tag_box6",tax_group_5
ST4,ST4,l10n_uk,sale,Sales to customers in EC,percent,0,2200,2200,,vat_tag_box8,tax_group_0
PT7,PT7,l10n_uk,purchase,Zero rated purchases from EC,percent,0,2201,2201,,vat_tag_box9,tax_group_0
ST11,ST11,l10n_uk,sale,Standard rate (20%),percent,20,2200,2200,,"vat_tag_box1,vat_tag_box6",tax_group_20
PT11,PT11,l10n_uk,purchase,Standard rate (20%),percent,20,2201,2201,,"vat_tag_box7,vat_tag_box4",tax_group_20
