id,description,chart_template_id:id,type_tax_use,name,amount_type,amount,parent_id:id
ST0,ST0,l10n_uk,sale,Zero rated sales,percent,0,
ST1,ST1,l10n_uk,sale,Standard rate sales (17.5%),percent,0.175,
ST2,ST2,l10n_uk,sale,Exempt sales,percent,0,
PT0,PT0,l10n_uk,purchase,Zero rated purchases,percent,0,
PT1,PT1,l10n_uk,purchase,Standard rate purchases (17.5%),percent,0.175,
PT2,PT2,l10n_uk,purchase,Exempt purchases,percent,0,
PT8,PT8,l10n_uk,purchase,Standard rated purchases from EC,percent,0.175,
PT8R,PT8R,l10n_uk,purchase,Reverse EC Purchase VAT,percent,-1,PT8
PT5,PT5,l10n_uk,purchase,Lower rate purchases (5%),percent,0.05,
ST4,ST4,l10n_uk,sale,Sales to customers in EC,percent,0,
PT7,PT7,l10n_uk,purchase,Zero rated purchases from EC,percent,0,
ST11,ST11,l10n_uk,sale,Standard rate sales (20%),percent,0.2,
PT11,PT11,l10n_uk,purchase,Standard rate purchases (20%),percent,0.2,
