id,name,applicability,country_id:id
account.account_tag_operating,CF: Үндсэн: Бусад,accounts,
account.account_tag_financing,CF: Хөрөнгө оруулалт: Бусад Урт хугацаат хөрөнгө,accounts,
account.account_tag_investing,CF: Санхүү: Ногдол ашиг,accounts,
account_tag_operating_product,CF: Үндсэн: Бараа үйлчилгээ,accounts,
account_tag_operating_loyalty,CF: Үндсэн: Эрхийн шимтгэл хураамж,accounts,
account_tag_operating_insurance,CF: Үндсэн: Нийгмийн Даатгал,accounts,
account_tag_operating_insurance2,CF: Үндсэн: Бусад Даатгал,accounts,
account_tag_operating_taxrefund,CF: Үндсэн: Татвар,accounts,
account_tag_operating_funding,CF: Үндсэн: Татаас санхүүжилт,accounts,
account_tag_operating_employee,CF: Үндсэн: Ажилчид,accounts,
account_tag_operating_cost,CF: Үндсэн: Ашиглалтын зардал,accounts,
account_tag_operating_transport,CF: Үндсэн: Түлш тээвэр сэлбэг,accounts,
account_tag_operating_interest,CF: Үндсэн: Зээлийн хүү,accounts,
account_tag_investing_fasset,CF: Хөрөнгө оруулалт: Үндсэн хөрөнгө,accounts,
account_tag_investing_iasset,CF: Хөрөнгө оруулалт: Биет бус хөрөнгө,accounts,
account_tag_investing_invest,CF: Хөрөнгө оруулалт: Хөрөнгө оруулалт,accounts,
account_tag_investing_loan,CF: Хөрөнгө оруулалт: Зээл урьдчилгаа,accounts,
account_tag_investing_interest,CF: Хөрөнгө оруулалт: Зээлийн хүү,accounts,
account_tag_investing_dividends,CF: Хөрөнгө оруулалт: Ногдол ашиг,accounts,
account_tag_financing_loan,"CF: Санхүү: Зээл, өрийн үнэт цаас",accounts,
account_tag_financing_rental,CF: Санхүү: Санхүүгийн түрээс,accounts,
account_tag_financing_stock,CF: Санхүү: Хувьцаа өмчийн бусад үнэт цаас,accounts,
account_tag_financing_donation,CF: Санхүү: Хандив,accounts,
account_tag_exchange,CF: Валютын ханшийн зөрүү,accounts,
vat_report_tag2,ТТ3а: НӨАТ-аас чөлөөлөгдөх борлуулалтын орлого (2),taxes,base.mn
vat_report_tag5,ТТ3a: Дотоодын зах зээлд борлуулсан барааны борлуулалтын орлого (5),taxes,base.mn
vat_report_tag6,ТТ3a: Бусад барааны борлуулалтын орлого (6),taxes,base.mn
vat_report_tag7,ТТ3a: Эрх борлуулсны орлого (7),taxes,base.mn
vat_report_tag8,ТТ3a: Татан буугдах үед үлдсэн барааны орлого (8),taxes,base.mn
vat_report_tag9,ТТ3a: Өрийн төлбөрт шилжүүлсэн барааны орлого (9),taxes,base.mn
vat_report_tag11,"ТТ3a: Өрийн төлбөрт тооцсон ажил гүйцэтгэх, үйлчилгээ үзүүлсний орлого (11)",taxes,base.mn
vat_report_tag12,"ТТ3a: Цахилгаан,  дулаан, хий, ус хангамж, ариутгах татуурга, шуудан, харилцаа холбооны болон бусад үйлчилгээ үзүүлсний  орлого (12)",taxes,base.mn
vat_report_tag13,"ТТ3a: Бараа түрээслүүлэх, бусад хэлбэрээр эзэмшүүлэх, ашиглуулах үйлчилгээний орлого (13)",taxes,base.mn
vat_report_tag14,"ТТ3a: Зочид буудал ба түүнтэй адилтгах байр түрээслүүлэх, эзэмшүүлэх, ашиглуулах үйлчилгээний орлого (14)",taxes,base.mn
vat_report_tag15,"ТТ3a: Үл хөдлөх, хөдлөх эд хөрөнгө түрээслүүлэх ба эзэмшүүлэх ашиглуулах үйлчилгээий орлого (15)",taxes,base.mn
vat_report_tag16,"ТТ3a: Шинэ бүтээл, бүтээгдэхүүний загвар, зохиогчийн эрхэд хамаарах бүтээл, барааны тэмдэг, ноу-хау шилжүүлсэн, түрээсэлсэн, худалдсаны орлого (16)",taxes,base.mn
vat_report_tag17,"ТТ3a: Эд мөнгөний хонжворт сугалаа,төлбөрт таавар бооцоот тоглоомын үйл ажиллагааны орлого (17)",taxes,base.mn
vat_report_tag18,"ТТ3a: Зуучлалын үйлчилгээний орлого (18)",taxes,base.mn
vat_report_tag19,"ТТ3a: Бусдын буруутай үйл ажиллагааны улмаас авсан хүү, торгууль, алдангийн орлого (19)",taxes,base.mn
vat_report_tag20,"ТТ3a: Хөрөнгийн үнэлгээний үйлчилгээний орлого (20)",taxes,base.mn
vat_report_tag21,"ТТ3a: Төрөөс олгож буй төсвийн санхүүжилт, татаас, урамшууллын орлого (21)",taxes,base.mn
vat_report_tag22,"ТТ3a: Өмгөөлөл, хууль зүйн зөвлөлгөө өгөх үйлчилгээний орлого (22)",taxes,base.mn
vat_report_tag23,"ТТ3a: Үсчин, гоо сайхан, засвар үйлчилгээ, угаалга, хими цэвэрлэгээний үйлчилгээний орлого (23)",taxes,base.mn
vat_report_tag24,"ТТ3a: Хуулийн 13 дугаар зүйлд зааснаас  бусад бүх төрлийн үйлчилгээний  орлого (24)",taxes,base.mn
vat_report_tag27,"ТТ3a: Нэмэгдсэн өртгийн албан татварын 0 хувь хэрэглэх бараа борлуулсны орлого (27)",taxes,base.mn
vat_report_tag28,"ТТ3a: Нэмэгдсэн өртгийн албан татварын 0 хувь хэрэглэх ажил, үйлчилгээ үзүүлсний орлого (28)",taxes,base.mn
vat_report_tag32,"ТТ3а: Тухайн сард худалдан авсан бараа, ажил үйлчилгээний нийт дүн (32)",taxes,base.mn
vat_report_tag34,"ТТ3a: Импортын бараа, ажил үйлчилгээний дүн ( НӨАТ-гүй дүн) (34)",taxes,base.mn
vat_report_tag35,"ТТ3a: Дотоодын зах зээлээс худалдан авсан бараа, ажил, үйлчилгээнд төлсөн дүн ( НӨАТ-гүй дүн) (35)",taxes,base.mn
vat_report_tag36,"ТТ3a: Суутган төлөгчөөр бүртгүүлэх үед импортоор худалдан авсан бараа, үйлчилгээний НӨАТ-гүй дүн (36)",taxes,base.mn
vat_report_tag37,"ТТ3a: барилга байгууламж (37)",taxes,base.mn
